session_title,year,number_of_authors,number_of_papers
"Innovations, Currency, Exports & Growth",2013,11,6
Innovative Approaches to Analyzing Newly Observed Patterns in Economic Data,2014,7,5
Innovative Approaches to Measuring Trends in Domestic and Global Output and Trade,2019,8,4
Innovative Teaching Strategies for Teaching Undergraduate Economics,2011,6,3
"Inside Development and Banking Institutions (B5, E6)",2016,8,5
"Inside Entrepreneurship: Social Entrepreneurship in Practice (B5, L3)",2016,9,5
"Inside Institutions: Evolutionary Perspectives (B5, E2)",2016,7,5
"Inside Institutions: Feminist Perspectives (B5, Z1)",2016,8,5
Inside the Black Box: Household Dynamics,2014,10,5
Insider Trading and Short Selling,2011,10,4
Insiders and Incentives,2019,8,3
Insights from Financial History,2012,8,5
Insights into Obesity from a Behavioral Economics Perspective,2011,4,3
Insights of Marxist-Radical Thought for Employment Relations Practice and Theory,2013,5,4
"Institutional Approaches to Firms, Development and Markets (B5, O1)",2016,10,5
Institutional Biases and Asset Prices,2016,11,4
"Institutional Change (B5, Z1)",2016,5,5
Institutional Conditions for Sustainable GDP Growth,2015,7,4
"Institutional Design and Organizational Performance (D2, D7)",2016,10,4
"Institutional Economic Thought and Analysis (B5, B1)",2016,5,5
"Institutional Economics of Consumption, Regulation, and Law",2018,5,5
Institutional Investors and Alternative Assets,2016,10,4
Institutional Investors I,2013,11,4
Institutional Investors II,2013,7,3
"Institutional Investors: Voting, Lending and Monitoring",2013,9,3
Institutional Investors' Portfolio Choices,2014,10,4
Institutional Persistence and Change,2019,9,4
Institutional Policy Analysis: Frameworks and Applications,2011,6,5
Institutional Structures and Strategies for Economic Growth in Indian Country,2013,8,4
Institutionalism and the Great Crisis,2012,4,4
Institutionalist Approaches to the Development of Contemporary Economies,2012,7,5
Institutionalist Frontiers of Theory and Methods,2018,7,5
Institutions and Geography (Y),2012,9,5
Institutions and Globalization,2012,12,4
Institutions and Real Sector Activity,2018,12,4
"Institutions and the Public Interest: Session in Honor of Harry M. Trebing (B5, L5)",2016,5,5
Institutions Matter: Economic and Social Policies in the Long Run,2016,8,4
"Institutions, Crises, and Creative Destruction",2012,11,4
"Institutions, Entrepreneurship, and Public-Private Boundaries",2011,8,3
"Institutions, Investment, and Innovation",2012,11,4
"Institutions, Markets, and Ethics (G1, D6)",2016,6,4
"Institutions, Organization, and Entrepreneurship",2015,11,4
"Institutions, Wages and Performance: Session in memory of Katherine Terrell",2011,8,4
Instrumental Variables,2014,8,4
Instrumental Variables and Control Function Methods,2015,6,4
"Insurance and Behavioral Economics: Policy Implications (D1, G2)",2015,9,3
Insurance Economics,2011,11,5
Insurance Economics,2012,10,5
"Insurance, Migration and Economic Growth",2016,13,4
Intangible Capital and Asset Prices,2013,9,4
"Intangible Capital, Creative Destruction, and Prospects for China's Continued Economic Growth (D2, O3)",2015,7,4
"Intangibles and Growth (E2, O4)",2015,10,4
Integrating Real and Financial Determinants of Economic Crisis,2013,6,5
"Integration and Management: Theory and Evidence from Around the World (D2, L2)",2015,14,4
Intellectual Property and Innovation,2011,7,4
Intellectual Property Rights and Innovation,2014,11,4
Intellectual Property Rights and Innovation,2015,14,4
Intentional and Unintentional Effects of Safety Net Programs,2019,12,3
Interactions Between Firms and Politicians,2014,5,4
"Interconnectedness and Systemic Risk (G1, G2)",2016,9,4
Interest Rates,2018,7,4
Interest Rates and House Price Dynamics,2011,11,4
Interest Rates and International Monetary Policy,2019,9,5
Interest Rates and Real Activity,2018,10,4
"Intergenerational Mobility over Time and Across Locations: Establishing the Facts and Explaining the Mechanisms (J6, D3)",2015,10,4
Intergenerational Transfers,2011,10,5
Intergenerational Transfers,2016,9,4
Intergenerational Transmission of Socioeconomic Outcomes,2011,7,4
Intermediation and Raising Capital,2016,11,4
Intermediation and Transport Costs in International Trade,2012,10,4
Internal Trade and Economic Integration,2016,9,4
International and Distributional Impact of Nonconventional Monetary Policy Measures,2019,16,4
International and Fiscal Dimensions of Systemic Risks,2012,9,4
International and Regional Economic Integration,2011,12,4
International Business Cycles,2019,6,4
"International Capital Allocation, Portfolio Choice and Capital Flows",2012,8,4
"International Capital Flows (F3, F2)",2015,9,4
International Corporate Finance,2012,10,4
International Corporate Finance and Development,2013,10,4
International Economic Issues: Africa and Latin America,2011,10,6
International Economic Relationships and National Economic Concerns,2011,5,5
International Economics,2018,13,4
International Finance,2012,6,4
International Finance,2013,15,6
International Finance,2015,10,3
International Finance,2019,9,3
International Finance and Currency Risk,2013,9,4
International Finance and Emerging Markets,2018,9,4
International Finance and Macroeconomics,2018,10,4
International Financial Architecture,2018,6,3
International Financial Instability and the Safety Premium,2013,3,3
International Financial Markets,2012,8,3
International Financial Markets,2013,5,3
International Financial Markets 1,2011,10,4
International Financial Markets 2,2011,6,3
International House Pricing,2018,10,4
International Investments and Returns,2011,12,5
International Macroeconomics,2013,8,4
International Macroeconomics and Finance,2013,9,4
"International Macroeconomics and Finance (F3, F4)",2016,10,4
International Monetary Reform,2012,3,3
International Perspectives on Employment Relations - LERA Competitive Papers,2013,8,4
"International Perspectives on Gender in the Workplace, Session I",2014,10,4
"International Perspectives on Gender in the Workplace, Session II",2014,5,4
International Policy Coordination,2013,5,5
International Portfolio Composition,2015,9,5
International Real Estate Performance,2011,8,4
International Risk Sharing and Capital Flows,2016,10,4
"International Risks: Pass-Through in Currencies and Capital Flows (F4, F3)",2016,11,4
International Trade,2012,8,4
International Trade,2013,18,8
International Trade,2014,9,4
International Trade,2019,13,4
International Trade Agreements,2012,8,4
"International Trade and Development (F1, O1)",2015,7,3
International Trade and Finance,2011,9,5
International Trade and Finance,2012,10,4
International Trade and Finance,2014,22,10
International Trade and Health,2018,10,4
International Trade and Heterogeneous Firms,2013,8,4
International Trade and Investment,2013,12,5
International Trade and Labor Markets,2013,12,3
International Trade and Macroeconomic Policy Considerations in African Economic Development,2016,8,6
International Trade and Macroeconomics,2012,11,4
International Trade and Macroeconomics,2016,7,4
International Trade and Prices,2011,9,5
International Trade and Trade Policy: In Memory of Robert E. Baldwin,2012,15,4
"International Trade and Transportation (L9, F6)",2015,9,4
"International Trade Issues in Developing and Transitional Economies (F1, F6)",2016,10,4
International Trade Pricing,2013,11,4
International Trade with Costly Trade within Countries,2013,8,4
"International Trade with Global Value Chains (F1, F2)",2015,10,4
"International Trade, Economic Geography, and Firm Heterogeneity (F1, F2)",2016,13,4
"International Trade, Labor and Knowledge Capital in China since WTO",2013,10,5
"International Trade, Productivity, and Skill Demand",2013,9,4
International Trade: Empirics,2014,6,3
International Trade: Firm-Level Country Studies,2015,9,5
International Trade: Theory,2014,8,3
International Transmission of Business Cycles,2011,10,5
Internet Effects,2013,7,5
"Internet Feedback Systems (C9, D4)",2016,7,4
Internet Markets,2011,9,3
Intertemporal Discounting: Alternative Functional Forms and Methodology of Empirical Identification,2011,4,4
"Interventions, Innovations, and Insights in Economic and Personal Financial Education",2015,9,4
Intra-household Allocations: Advances in Identification and Recent Applications,2019,11,4
Intra-household Production and Exchange,2019,6,4
Intrahousehold Decision-making and Well-being: Measurement and Evidence,2018,7,4
Inventories and Business Cycles,2012,9,4
"Inventories and Business Cycles (E2, E3)",2015,11,4
Inventories and the Business Cycle,2011,9,4
"Inventories, Investment and Business Cycles (E2, E3)",2016,6,4
Inventory Dynamics and Business Cycles,2013,10,4
Investigating the Determinants of Infant Mortality,2014,13,4
Investment in Education,2018,8,4
"Investment Policy, Risk Taking and Hedging",2016,12,4
"Investment, Q, and Frictions",2013,7,3
"Investment, Rates and Rents",2018,10,4
"Investment, Uncertainty, and Capital Structure",2012,10,4
Investments in Children with Disabilities and Behavioral Issues,2019,14,4
Investments in Minority Communities,2012,7,4
Investor Behavior,2015,14,5
Investor Psychology,2019,7,3
Investor Sentiment,2011,9,4
Investors and Firm Market Power: Does the Source of Capital Matter?,2019,8,3
Invited Lectures: Behavioral Economics,2012,2,1
"Invited Session on AI, Machine Learning, and Economics",2018,2,2
IOS Young Researchers Session,2012,8,4
"IPO, SEO and Payouts",2011,7,3
"IPO, SEO, Equity Issuance",2013,6,3
IPOs and SEOs,2012,9,3
Irving Fisher and Modern Economics: 100 Years After The Purchasing Power of Money,2011,6,4
Is it Labor Supply or Labor Demand?,2019,8,4
Is Neglect Benign? The Case of United States Housing Finance Policy,2014,7,4
Is the Large Firm Wage Premium Dead or Just Merely Resting?,2018,12,3
Is There a Policy Paralysis?,2013,13,6
Issues in 19th-Century Economic Growth,2013,4,4
"Issues in African Development (O1, F5)",2016,9,5
Issues in African Development and Economic Transformation,2013,12,6
Issues in African Development I,2015,11,5
Issues in African Development II,2015,8,5
Issues in African Economies: China and the Global Financial Crisis,2011,9,6
Issues in Asian Economic Integration and Cooperation,2012,7,4
Issues in Bank Risk and TBTF,2018,10,4
Issues in Development,2018,10,4
"Issues in Economic Democracy: Worker Ownership, Management and Control",2011,4,4
Issues in Heterodox Microeconomics,2011,6,5
Issues in Higher Education,2014,9,4
Issues in Higher Education,2015,14,4
Issues in Native American Economic Development,2018,8,4
Issues in Teacher Pensions,2013,8,4
Issues in Trade and Development Economics,2015,4,4
"Issues in Trade, Growth, and Macroeconomics",2012,10,5
Issues of Health and Well Being,2012,5,4
Issues of Race and Real Estate,2011,9,4
Issues on African Development I,2018,15,6
Issues on African Development II,2018,9,6
Issues Relating to Higher Education Financing,2018,12,4
It’s All about Technology,2016,9,4
JBES Invited Paper,2013,1,1
JBES Invited Session,2014,2,2
JBES Invited Session,2016,2,1
JBES Invited Session: HAC Estimation,2018,4,1
Job Displacement,2018,11,4
Job Flows,2018,12,4
"Job Guarantee: Issues in Social and Ecological Justice (J6, Q5)",2016,4,4
"Job Polarization and Biased Technological Change (J2, O3)",2016,11,4
Job Quality: Trends and Challenges,2012,4,3
"Job-to-Job Transitions, Labor Force Participation, and the Output Gap",2019,12,3
Journal of Business and Economic Statistics Invited Address,2012,1,1
Journal of Business and Economic Statistics Invited Paper: Forecast Rationality Tests Based on Multi-Horizon Bounds,2011,2,1
Journal of Business and Economic Statistics Invited Session,2019,1,1
Journal of Business and Economic Statistics Plenary,2015,1,1
K-12 Economic and Financial Literacy Education,2011,8,4
K-12 Economic and Financial Literacy Education,2012,9,4
Kazakhstan's Economic Strategy: Halfway to 2030,2014,5,4
Kenneth Boulding: Religious Influences on his Economics,2018,3,3
"Keynes and Keynesian Economics in Light of the Financial Crisis (B3, E1)",2015,3,3
"Keynesianism: Its Rise, Fall, and Transformation in Europe and North America",2019,4,4
Knowledge and Wealth: Private or Community Property,2011,4,4
Labor and Housing Impacts of the Recent Crisis,2012,9,4
Labor and Investment,2019,9,4
Labor Economics,2012,7,3
Labor Economist at Work: Honoring the Life and Work of Casey Ichniowski,2015,3,3
"Labor Force Issues in Advanced Economies: Participation, Self-Employment, Outsourcing",2014,5,3
Labor Market Analysis with Linked-Employer-Employee-Data,2012,12,4
Labor Market Changes and Wealth Inequality,2018,9,4
Labor Market Dynamics,2016,12,5
Labor Market Dynamics,2019,10,4
Labor Market Flexibility and Outcomes in Developed and Emerging Market Countries,2013,12,4
Labor Market Impacts of Trade,2012,10,4
Labor Market in China,2019,5,3
"Labor Market Information Channels, Matching, and Racial and Ethnic Disparities in Unemployment and Employment",2011,9,6
Labor Market Institutions and Policies in Developed and Emerging Market Countries,2011,11,4
"Labor Market Institutions in China (J5, J4)",2015,11,4
Labor Market Issues,2014,8,5
Labor Market Issues in China: Evidence from the RUMIC Longitudinal Survey,2014,7,4
Labor Market Networks,2013,12,4
"Labor Market Policies: Design and Evaluation (J3, J4)",2015,7,4
Labor Market Policy and the Workplace,2014,8,4
"Labor Market Search and Career Dynamics (J2, J3)",2015,8,3
Labor Market Shocks,2011,9,5
"Labor Market, Labor Decisions, and Production Cycles",2011,11,5
"Labor Market, Unemployment, and Migration",2015,9,5
Labor Markets,2014,10,5
Labor Markets and International Trade,2013,8,4
Labor Markets and Occupational Choice,2014,7,5
Labor Markets and the Aggregate Economy,2013,11,4
Labor Markets and the Great Recession,2013,4,4
Labor Markets and the Macroeconomy,2019,8,5
Labor Markets in Developing Economies,2016,5,2
Labor Markets in History,2018,5,3
Labor Markets in the Age of Artificial Intelligence,2018,7,4
"Labor Markets in the Great Recession (E3, J2)",2015,9,4
Labor Markets with Occupational Licensing: Their Economic Effects,2016,3,3
"Labor Markets, Discrimination and the Academy",2019,12,5
Labor Markets: from the Colonial Past to Globalization and Transition,2011,11,4
"Labor Migration, Microcredit and Economic Development Issues in South Asia",2019,11,4
Labor Mobility in Response to Shocks,2016,10,5
Labor Productivity,2016,16,5
Labor Productivity and Wage Determination,2016,10,4
"Labor Productivity in Cities (R1, J2)",2015,9,4
"Labor Related Issues: An International Perspective (G3, J5)",2016,10,4
Labor Supply,2014,10,4
Labor Supply Effects of Disability Insurance,2011,8,4
Land and Housing in an International Context,2012,8,4
Land Prices,2011,12,4
"Land Values and Housing Production (R3, R1)",2016,12,4
Large Matching Markets,2018,9,4
Latest Research on Poverty Measurement for the United States,2014,9,4
Law and Development in China and Russia,2011,7,4
Law and Economics,2011,7,4
Law and Economics of Labor and Employment Relations,2011,6,4
Law and Finance,2012,11,4
Law and Finance,2013,6,3
Law and Government,2011,9,4
Law and Social Economics: Applications,2014,4,4
Law and Social Economics: Foundations,2014,5,4
Law and the Business and Social Environment,2016,11,4
Learning and Information Aggregation with Misspecified Models,2019,9,4
"Leave, Hours and Worker Outcomes",2014,3,3
Lecture: The Transformation of Finance,2011,1,1
Legal and Economic Foundations of Organization,2012,6,3
"LERA Papers I: Discrimination and Segregation: Measurement, Detection, and Litigation",2015,7,3
LERA Papers III: Labor and the Macro and Regional Economies,2015,5,4
"LERA Papers IV: Stakeholder and Shareholder Voice: Outcomes for Competitiveness, Development, and Social Responsibility",2015,3,2
LERA Papers V: Industry and Occupation Studies of Employment Relations,2015,6,4
LERA Papers VI: Job Quality and Job Satisfaction,2015,7,4
LERA Papers VII: Employment Relations and Organizational Performance,2015,9,4
LERA Papers VIII: Micro and Macro Effects of Employer-Provided Job Benefits,2015,6,3
LERA Plenary and Featured Speaker: The Care Penalty and the Power Premium: Earnings Inequality in the United States,2018,1,1
LERA Plenary: Rules of Engagement: Promoting Prosperity Through Labor Standards Enforcement,2015,2,2
LERA Refereed Papers Session I,2011,9,5
LERA Refereed Papers Session I,2012,11,5
LERA Refereed Papers Session II,2011,7,5
LERA Refereed Papers Session II,2012,10,5
LERA/IAFFE Papers II: The Work-Family Interface,2015,6,3
LERA/NEA Present: Evaluating Public Policies to Achieve Full Employment for Everyone,2018,8,3
Lessons and Policy Implications from the Global Financial Crisis,2011,4,4
Lessons from Asian High Frequency Financial Market Analysis,2018,9,4
Lessons from Historical Immigration Policy,2018,7,3
Lessons from the Past for Today's Fiscal Adjustment Plans,2012,11,4
Lessons Learned from Empirical Studies of the Financial Crisis,2011,10,4
"Leveraged Investment (G1, G3)",2015,12,4
Liability Structure and Funding Risk of Banks,2016,7,3
Life-Cycle Decision-Making with Intergenerational Interactions and Health/Life Expectations,2014,8,3
Lifecycle Impacts of Early Childhood Healthcare,2019,8,3
"Like Everybody Else: Experimental Economics of Conformity, Image, and Identity",2018,15,4
Limits to Arbitrage,2016,7,3
Limits to Arbitrage: Empirical Evidence,2013,11,4
"Linking Farms, Firms and Consumers in LDCs to GVC",2019,8,4
Liquidity and Financial Crises,2012,10,5
Liquidity and the Financial Crisis,2011,7,3
Liquidity Dynamics,2012,9,4
Liquidity in Financial Markets,2012,8,4
"Liquidity in Real Estate Markets (R3, E5)",2016,10,4
Liquidity Provision,2019,10,4
Liquidity Risk,2015,8,3
Liquidity Shocks to Markets,2018,13,4
Liquidity Supply and Asset Prices,2014,8,3
"Liquidity, Frictions, and Limits to Arbitrage",2016,10,4
"Liquidity, Trading, and Frictions",2013,7,3
"Liquidity, Trading, and Frictions - Empirical",2011,5,3
"Liquidity, Trading, and Frictions - Empirical",2012,10,4
"Liquidity, Trading, and Frictions - Theory",2011,8,3
Liquidity: Empirical Perspectives,2018,11,4
Liquidity: Theoretical Models,2018,6,4
Loan Modifications,2012,13,4
Loan Syndication,2018,7,3
"Local Externalities (R5, K2)",2016,10,4
"Local Governments and the Housing Market (R1, H7)",2016,13,4
Local Implications of Shale Gas,2018,10,4
Location and Neighborhood,2013,7,4
"Location, Enforcement and Financial Reporting",2011,8,3
"Long Hours Jobs and Specialization in Marriage (J2, D1)",2016,6,4
Long Run Changes in Labor Market Outcomes,2014,6,4
Long-Run Influences of the Early Childhood Environment in Developing Countries,2011,4,4
Long-Run Trends in Economic Development,2012,6,3
Long-term Care Insurance,2018,10,4
Long-term Consequences of Early Life Experiences,2018,12,4
"Long-Term Policies and Institutions for Full Employment, Quality of Life, Equitable Growth and Regional Development",2013,7,5
Looking Back at the United States during the Late Nineteenth Century: Lessons from the American Economy during the Time of the Great Migration Era,2014,10,4
Looking for Best Practices in Economic Journalism: Past and Present,2013,4,4
Loss and Debt Aversion,2015,7,5
Low Income Mortgage Performance,2012,9,4
Low Wage Work and Marginality,2012,5,4
Low Wage/No Wage Jobs,2014,7,4
Low-Income Families,2018,13,4
Lucas Paradox: Why Doesn't Capital Flow in Developing Economies?,2013,11,4
"Lying, Beliefs and Psychological Games (C9, D8)",2015,12,4
M&As around the World,2012,14,4
Machine Learning,2019,9,4
Machine Learning and Shrinkage Estimation,2019,9,4
Machine Learning for Policy Research,2018,7,4
"Machine Learning Methods in Economics and Econometrics (C1, C8)",2015,9,4
Macro and Financial Econometrics,2016,9,4
Macro Asset Pricing,2015,9,4
Macro Development with Micro Data,2014,8,3
Macro Finance,2012,11,4
Macro Finance,2013,9,4
Macro Finance,2014,7,3
Macro Finance,2018,8,4
Macro Finance,2019,8,4
Macro Housing,2011,9,4
Macro Issues on African Development,2012,12,5
Macro Labor,2016,9,4
Macro Policy and Financial Stability in the Age of Turbulence,2014,4,4
Macro Shifts and Distributional Impacts,2018,7,4
Macro Uncertainty and Financial Volatility,2013,9,4
Macro-economic Implications of Incomplete Markets,2018,10,4
Macro-Finance: Collateral and Currency Markets,2019,10,4
"Macro, Money and Financial Fragility",2014,7,3
"Macro, Money, and Finance (E5, G2)",2016,9,4
"Macro/International I (E3, E4)",2015,7,3
"Macro/International II (E3, F3)",2015,6,4
"Macro/International III (E3, F1)",2015,11,4
Macroeconomic and Development Policy in a Financially Globalized Economy: Current and Historical Perspectives,2019,5,5
Macroeconomic Aspects of Taxation Policy,2013,8,5
Macroeconomic Dynamics,2012,7,4
Macroeconomic Dynamics at the Zero Lower Bound,2014,5,4
"Macroeconomic Effects of Fiscal Policy Changes (E6, C8)",2016,12,4
Macroeconomic Effects of Households Heterogeneity,2012,6,4
"Macroeconomic Experiments (C9, E5)",2015,9,4
Macroeconomic Fluctuations and Finance: The Role of Households,2012,5,3
Macroeconomic Fluctuations and Frictions,2012,6,4
Macroeconomic Impact of Population Aging,2014,4,4
Macroeconomic Implications of Debt Contracts,2019,7,4
Macroeconomic Reforms,2013,8,4
Macroeconomic Studies of Labor Market,2018,4,3
"Macroeconomic Surprises, Measurement and Spill-overs",2012,7,4
Macroeconomic Uncertainty and Asset Prices,2014,11,4
Macroeconomics after the Crisis,2011,4,4
Macroeconomics and Asset Prices,2013,9,4
Macroeconomics and Consumer Surveys,2019,12,4
Macroeconomics and Corporate Finance,2012,7,4
Macroeconomics and Finance,2011,9,4
Macroeconomics and Heterogeneity,2019,13,4
Macroeconomics and Housing,2019,11,4
Macroeconomics I,2018,10,4
Macroeconomics of Financial Markets,2012,11,4
Macroeconomics of Inventory Management,2014,6,4
Macroeconomics of Labor Markets,2012,6,4
Macroeconomics Subject to Informational Frictions,2018,9,4
Macroeconomics with Debt Markets in Turmoil,2014,5,3
"Macroeconomics with Rich Microdata: Implications for Policy (E2, O1)",2015,13,4
"Macroeconomics, Deflation and Liquidity",2014,10,4
"Macrofinance (E4, G1)",2015,8,4
Macroprudential Policies,2014,11,4
"Macroprudential Policies for Low-Income and Developing Countries (G1, O1)",2016,12,4
"Macroprudential Policy (E5, G2)",2016,11,4
Macroprudential Policy and Banking Panics,2018,6,3
Macroprudential Policy and Financial Stability,2019,7,3
Macroprudential Regulation and Financial Crises (Sponsored by the U.S. Office of Financial Research),2016,9,3
"Maintenance, Modification, and Rehabilitation (R2, G2)",2015,7,4
Making Globalization More Inclusive,2018,6,4
Making Higher Education Accessible: Financial Aid and Peer Effects,2013,6,4
Making Sense of Tax Reform,2019,5,4
"Management and Productivity in Health Care (I1, D2)",2016,9,4
"Management of Natural Resources: Theory and Applications (Q2, Q3)",2016,11,4
Managerial Agency Costs,2014,8,3
Managerial Incentives I,2014,7,3
Managerial Incentives II,2014,5,3
"Managerial Incentives, Risk-Taking, and Performance",2011,12,4
"Managerial Traits, Life Experiences and Firm Behavior (G3, G3)",2016,12,4
Managing Natural Resource Wealth for Development: What Works and What Does Not Work,2013,11,5
Market as Metaphor,2019,5,4
"Market Design Approach to School Choice (C7, D4)",2016,11,4
Market Design Experiments,2014,11,4
Market Design for Auction Markets,2014,7,4
Market Design for Online Platforms,2019,13,3
"Market Design for Student Placement: Econometrics and Empirical Evidence (I2, D4)",2016,11,4
Market Design: Theory and Empirics,2014,8,4
Market Dynamics,2012,5,4
Market Failure in Context,2014,5,4
Market Forces for Nonprofits: Theory and Evidence,2019,8,3
Market Innovations in Historical Perspective,2012,8,4
Market Microstructure,2012,12,4
Market Microstructure,2013,8,3
Market Microstructure,2018,10,4
Market Microstructure and Design,2018,8,3
Market Microstructure and Informed Trading,2015,7,4
Market Microstructure Theory,2014,9,4
Market Microstructure: New Tools and New Markets,2018,9,3
Market Mispricing,2018,11,4
"Market Mispricing: Extrapolation, Speculation, and Disclosure",2019,11,4
Market Power and Firm Strategies in Health Insurance,2019,9,4
Market Pricing and Credit Spreads,2014,7,4
Market Risk Factors,2018,9,3
Market Risk Factors,2019,11,4
Market Structure and the Environment,2019,8,4
Market-Based Corporate Governance,2015,11,4
Marketing and Finance: Are Financial Products Bought or Sold?,2014,8,3
"Markets for Pollution (Q5, G1)",2015,7,4
"Markets, Policy Responses and Conflicts",2011,8,5
"Markets, Regulation, and Firm Behavior",2011,6,4
"Markov Switching DSGE Models, Theory and Applications",2012,6,4
"Markups, Consumption and Market Concentration",2019,11,4
"Markups, Customer Base and Business cycles",2013,11,4
"Markups, Firm Performance and International Trade",2019,10,3
Marriage and Divorce: Perspectives from Four Countries,2011,7,4
Marriage Markets in Developing Countries,2018,9,4
"Marriage, Divorce, and Female Labor Force Participation",2014,9,3
Marx’s Theory of Money and the MELT,2015,4,4
Marxian Circuit of Capital and Macroeconomics,2013,5,4
Marxist Perspectives on the Causes of the Crisis of 2008,2015,5,5
Mass Incarceration of African Americans and Its Economic Consequences,2016,4,4
Matching and Network Models,2013,3,3
Matching Markets,2012,4,3
Matching Markets - Behavioral Issues and New Theoretical Approaches,2019,8,4
"Maternity Leave, Family Formation and Caregiving",2012,9,4
"Meanings of Money: Considering Marx, Keynes, Sraffa, and Minsky",2016,8,5
Measurement and Impacts of Uncertainty,2014,13,5
Measurement Issues in Dynamic Macro Models,2014,8,4
Measurement Issues in Finance and Productivity,2012,10,4
Measurement Issues in the National Accounts,2013,10,4
Measurement of Core Variables in Banking,2019,9,4
Measuring and Explaining the Collapse of the Labor Market in the Great Recession,2012,9,4
Measuring and Incentivizing Teacher Performance,2014,12,4
"Measuring and Managing Financial Stability (G2, E5)",2016,15,4
Measuring Financial Capacity and Risk: Lessons from the Financial Crisis,2011,11,4
Measuring Financial Variables in the System of National Accounts,2014,8,4
Measuring Gains from International Migration,2019,10,4
Measuring Intangibles as Capital in Federal Economic Statistics,2011,6,4
Measuring Poverty in the United States: The Supplemental Poverty Measure,2013,7,4
Measuring Risk and Time Preferences,2013,10,4
"Measuring Social Indicators with Mobile Phone Data (C4, I3)",2016,9,4
Measuring Systemic Risk,2012,8,3
Measuring Systemic Risk,2014,7,4
Measuring the Effect of the Minimum Wage,2014,6,3
Measuring the Effects of Early Childhood Education,2018,8,4
Measuring the Multinational Economy,2015,6,3
"Measuring Top Wealth Shares (D3, D6)",2016,10,4
Measuring Trade in Value-Added – Data and Estimation Methods,2013,8,3
Measuring United States Business Dynamics,2018,9,4
Mechanism Design,2013,6,4
Mechanism Design,2014,6,4
Mechanism Design and Dynamic Contracting,2015,6,4
Mechanism Design Meets Development,2018,8,3
Mechanisms and Markets,2019,10,4
Media & Disclosure,2014,7,3
Media and Disclosure,2015,5,3
Media and Political Economics,2013,11,4
"Media Coverage, Alternative Facts, War and Cyberwarfare",2019,19,4
Medicaid,2018,6,4
Medical Innovation,2014,9,4
Medical Interventions and Patient Offsetting Behavior,2013,9,3
Medical Patient Behavior,2015,9,5
Medical Treatment,2013,10,5
Medical Treatment Effects,2019,11,4
Medicare and Prescription Drugs,2012,6,3
MENA Countries and Financial Institutions,2015,11,5
Mental Accounting,2018,6,3
Merger Analysis and Policy,2012,9,4
Mergers,2015,8,3
Mergers & Acquisitions I,2018,10,4
Mergers & Acquisitions II,2018,9,3
Mergers Analysis with Product Repositioning,2013,7,4
Mergers and Acquisitions,2019,14,4
"Mergers, Acquisitions and Buyouts",2013,10,4
"Mergers, Acquisitions and Buyouts 1",2012,8,4
"Mergers, Acquisitions and Buyouts 2",2012,8,4
Methodological Advances in IO,2019,13,5
Methodological Issues in Behavioral Economics,2019,4,4
"Methodological Perspectives on the Study of Inequality (B2, I3)",2015,4,4
Methodology in Heterodox Economics,2019,9,6
"Methods in Forensic Economics (K1, D1)",2016,8,3
"Micro Analysis of Education, Health, and Wages",2013,9,4
Micro and Applied Theory: New Modeling Tools and Questions,2014,6,4
Micro and Macro Perspectives on Families and Development,2016,10,4
Micro Foundations of the Glass Ceiling: Gender and Finance in Rural Settings,2014,7,3
Micro Linkages During a Crisis: Lessons from Past for Future,2011,10,4
Micro Pricing Research in Emerging Markets,2011,6,4
Micro Theory,2019,7,5
Micro vs. Macro Labor Supply Elasticities,2011,8,4
"Microeconometric Studies on Development (O1, L1)",2016,11,4
Microeconometrics: Theory and Applications,2014,7,5
Microeconomic Theory,2011,2,2
Microeconomics,2015,11,5
Microeconomics of Technology Adoption,2016,11,4
Microfinance,2011,11,4
Microfinance and Entrepreneurship,2011,6,4
Microstructure Meets Asset Pricing,2011,7,3
Middle East Economies: Applied Microeconomics Topics,2012,10,5
"Migrants, Terror, War and Well-Being",2019,6,4
Migration,2013,7,4
Migration,2016,11,5
Migration and Crime Trajectories,2013,9,4
Migration and Urbanization in Africa,2015,6,4
Migration Factors and Economic Outcomes (F22),2014,7,4
Migration in Central Asia: The experience of four countries,2011,6,4
"Migration, Urbanization, and Labor Market Outcomes in China",2018,14,5
Military Manpower Economics,2014,9,4
Minimum Wage and the Earnings Distribution: New Methods and New Models,2018,11,4
"Minimum Wages and Low-Wage Labor Markets: New Techniques and Outcomes (J2, J3)",2016,8,4
Minorities in Eastern Europe,2011,6,3
Misallocation and Finance,2018,7,4
Misclassified & Unreported Workers in the U.S. Construction Industry - State Level Studies,2011,8,4
Mismatch and Structural Unemployment,2012,9,4
Mispricing,2019,12,4
Mitigation of Greenhouse Gases,2016,16,5
Mobility and Housing Markets,2011,9,4
Mobility and Monopsony in the Labor Market,2011,5,3
Model Selection,2012,5,3
Model Specification and Testing,2016,9,5
Modeling and Forecasting Oil Prices,2013,9,4
Modeling Incomplete Information Games,2012,4,3
Modeling Short- and Long-Run Income Dynamics,2013,11,4
Models of Politics,2019,4,4
Models of Pricing and Nominal Rigidities,2011,10,4
Models of Uncertainty Shocks,2013,5,3
Modern Money Theory: Basic Principles and Policy Implications for the Eurozone,2013,6,5
"Monetary and Macroprudential Policy Mix in a World with Financial Frictions (E5, G2)",2015,8,4
Monetary Institutions and Policy in Secular Stagnation,2018,6,5
Monetary Policy,2011,7,4
