author,author-corrected,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,,,,,
Stephan Meier,Stephan Meier,Male,,,,,,,,,,
Andreas Hackethal,Andreas Hackethal,Male,,,,,,,,,,
Falko Fecht,Falko Fecht,Male,,,,,,,,,,
Yigitcan Karabulut,Yigitcan Karabulut,Male,,,,,,,,,,
Jesse M. Shapiro,Jesse M. Shapiro,Male,JESSE SHAPIRO,,,,,,,,,
Umit Gurun,Umit Gurun,Male,,,,,,,,,,
Jess Cornaggia,Jess Cornaggia,Male,,,,,,,,,,
Alexander W. Butler,Alexander W. Butler,Male,,,,,,,,,,
Jay Ritter,Jay Ritter,Male,,,,,,,,,,
Markus Noeth,Markus Noeth,Male,,,,,,,,,,
Michael Baye,Michael Baye,Male,,,,,,,,,,
Benjamin Shiller,Benjamin Shiller,Male,,,,,,,,,,
Ashiwini Natraj,Ashiwini Natraj,Female,,,,,,,,,,
Justin Rao,Justin Rao,Male,,,,,,,,,,
Timothy F. Bresnahan,Timothy F. Bresnahan,Male,TIMOTHY BRESNAHAN,Tim Bresnahan,,,,,,,,
Pai-Ling Yin,Pai-Ling Yin,Female,,,,,,,,,,
Jeffrey Hu,Jeffrey Hu,Male,,,,,,,,,,
Rahul Telang,Rahul Telang,Male,,,,,,,,,,
Anuj Kumar,Anuj Kumar,Male,,,,,,,,,,
Kristina McElheren,Kristina Mcelheren,Female,,,,,,,,,,
Marco Di Maggio,Marco Di Maggio,Male,,,,,,,,,,
Marshall Van Alstyne,Marshall Van Alstyne,Male,,,,,,,,,,
Andrei Hagiu,Andrei Hagiu,Male,,,,,,,,,,
Michael Luca,Michael Luca,Male,,,,,,,,,,
Neel Sundaresan,Neel Sundaresan,Male,,,,,,,,,,
Daniel Knoepfle,Daniel Knoepfle,Male,,,,,,,,,,
Feng Zhu,Feng Zhu,Male,,,,,,,,,,
Geoffrey Parker,Geoffrey Parker,Male,,,,,,,,,,
Mikolaj Jan Piskorski,Mikolaj Jan Piskorski,Male,,,,,,,,,,
Andreea Gorbatai,Andreea Gorbatai,Female,,,,,,,,,,
Leila Agha,Leila Agha,Female,,,,,,,,,,
Jeffery S. McCullough,Jeffery S. Mccullough,Male,,,,,,,,,,
Emilio Calvano,Emilio Calvano,Male,,,,,,,,,,
Hanna Halaburda,Hanna Halaburda,Female,,,,,,,,,,
Alok Gupta,Alok Gupta,Male,,,,,,,,,,
Sarah Rice,Sarah Rice,Female,,,,,,,,,,
Dina Mayzlin,Dina Mayzlin,Female,,,,,,,,,,
Arun Sundararajan,Arun Sundararajan,Male,,,,,,,,,,
Ravi Bapna,Ravi Bapna,Male,,,,,,,,,,
Alp Simsek,Alp Simsek,Male,,,,,,,,,,
Martin Gonzalez Rozada,Martin Gonzalez Rozada,Male,,,,,,,,,,
Pablo Andres Neumeyer,Pablo Andres Neumeyer,Male,PABLE ANDRES NEUMEYER,,,,,,,,,
Martin Beraja,Martin Beraja,Male,,,,,,,,,,
Kaiji Chen,Kaiji Chen,Male,,,,,,,,,,
Bartosz Mackowiak,Bartosz Mackowiak,Male,,,,,,,,,,
Mirko Wiederhold,Mirko Wiederhold,Male,,,,,,,,,,
Oliver Coibion,Oliver Coibion,Male,,,,,,,,,,
Klaus Adam,Klaus Adam,Male,,,,,,,,,,
Brent Bundick,Brent Bundick,Male,,,,,,,,,,
Francesco Lancia,Francesco Lancia,Male,,,,,,,,,,
Alessia Russo,Alessia Russo,Female,,,,,,,,,,
Hans A. Holter,Hans A. Holter,Male,,,,,,,,,,
Hubert Kempf,Hubert Kempf,Male,,,,,,,,,,
Omer Ozak,Omer Ozak,Male,,,,,,,,,,
Robert E. Lucas,Robert E. Lucas,Male,,,,,,,,,,
Julia age,Julia Age,Female,,,,,,,,,,
Andrei Schleifer,Andrei Schleifer,Male,,,,,,,,,,
Aldo Rustichini,Aldo Rustichini,Male,,,,,,,,,,
Eugenio Proto,Eugenio Proto,Male,,,,,,,,,,
Paola Profeta,Paola Profeta,Female,,,,,,,,,,
Vincenzo Galasso,Vincenzo Galasso,Male,,,,,,,,,,
Jonathan W. Williams,Jonathan W. Williams,Male,Jonathan Williams,,,,,,,,,
Connan Snider,Connan Snider,Male,,,,,,,,,,
Yuxin Chen,Yuxin Chen,Female,,,,,,,,,,
Carl F. Mela,Carl F. Mela,Male,CARL MELA,,,,,,,,,
Jeongwen Chiang,Jeongwen Chiang,Male,,,,,,,,,,
Silke J. Forbes,Silke J. Forbes,Female,,,,,,,,,,
Mara Lederman,Mara Lederman,Female,,,,,,,,,,
Julie Holland Mortimer,Julie Holland Mortimer,Female,JULIE MORTIMER,,,,,,,,,
Christopher T. Conlon,Christopher T. Conlon,Male,CHRISTOPHER CONLON,,,,,,,,,
Stephen P. Ryan,Stephen P. Ryan,Male,STEPHEN RYAN,,,,,,,,,
Mar Reguant Rido,Mar Reguant Rido,Female,,,,,,,,,,
James W. Roberts,James W. Roberts,Male,,,,,,,,,,
Kevin Boudreau,Kevin Boudreau,Male,,,,,,,,,,
Karim Lakhani,Karim Lakhani,Male,,,,,,,,,,
Antoine Dechezlepretre,Antoine Dechezlepretre,Male,,,,,,,,,,
Ina Ganguli,Ina Ganguli,Female,,,,,,,,,,
Naomi Hausman,Naomi Hausman,Female,,,,,,,,,,
Anup Malani,Anup Malani,Male,,,,,,,,,,
Kirk B. Doran,Kirk B. Doran,Male,,,,,,,,,,
Deepak Hegde,Deepak Hegde,Male,,,,,,,,,,
Michael Roach,Michael Roach,Male,,,,,,,,,,
Joerg Ohmstedt,Joerg Ohmstedt,Male,,,,,,,,,,
Neil Thompson,Neil Thompson,Male,,,,,,,,,,
Lee G. Branstteter,Lee G. Branstteter,Male,,,,,,,,,,
Chirantan Chatterjee,Chirantan Chatterjee,Male,,,,,,,,,,
Matthew Higgins,Matthew Higgins,Male,,,,,,,,,,
William Ryan,William Ryan,Male,,,,,,,,,,
Stephane Guibaud,Stephane Guibaud,Male,,,,,,,,,,
Juan Carlos Hatchondo,Juan Carlos Hatchondo,Male,Juan C. Hatchondo,Juan. Hatchondo,,,,,,,,
Cesar Sosa Padilla,Cesar Sosa Padilla,Male,,,,,,,,,,
Peter Benczur,Peter Benczur,Male,,,,,,,,,,
Oscar Jorda,Oscar Jorda,Male,,,,,,,,,,
Federic Boissay,Federic Boissay,Male,,,,,,,,,,
Filippo Taddei,Filippo Taddei,Male,,,,,,,,,,
Pablo Kurlat,Pablo Kurlat,Male,,,,,,,,,,
Tobais Adrian,Tobais Adrian,Male,,,,,,,,,,
Erkko Etula,Erkko Etula,Male,,,,,,,,,,
Luis Catao,Luis Catao,Male,,,,,,,,,,
Kenza Benhima,Kenza Benhima,Female,,,,,,,,,,
Eduardo Morales,Eduardo Morales,Male,,,,,,,,,,
Andres Zahler,Andres Zahler,Male,,,,,,,,,,
Gloria Sheu,Gloria Sheu,Female,,,,,,,,,,
Bob Staiger,Bob Staiger,Male,,,,,,,,,,
Pablo D. Fajgelbaum,Pablo D. Fajgelbaum,Male,PABLO FAJGELBAUM,,,,,,,,,
Yoto V. Yotov,Yoto V. Yotov,Male,,,,,,,,,,
James E. Anderson,James E. Anderson,Male,JAMES ANDERSON,,,,,,,,,
Rafael Dix Carneiro,Rafael Dix Carneiro,Male,Rafael Dix-Carneiro,,,,,,,,,
Xenia Matschke,Xenia Matschke,Female,,,,,,,,,,
Amalia R. Miller,Amalia R. Miller,Female,AMALIA MILLER,,,,,,,,,
Daniel L. Chen,Daniel L. Chen,Male,,,,,,,,,,
Stefan Bender,Stefan Bender,Male,,,,,,,,,,
Joerg Heining,Joerg Heining,Male,,,,,,,,,,
Jun Yang,Jun Yang,Female,,,,,,,,,,
Shmuel Leshem,Shmuel Leshem,Male,,,,,,,,,,
John Zhu,John Zhu,Male,,,,,,,,,,
Andreas Leibbrandt,Andreas Leibbrandt,Male,,,,,,,,,,
Jeffrey Flory,Jeffrey Flory,Male,,,,,,,,,,
Edward Claeser,Edward Claeser,Male,,,,,,,,,,
Yonca Ertimur,Yonca Ertimur,Female,,,,,,,,,,
Kelly Shue,Kelly Shue,Female,,,,,,,,,,
Michal Kolesar,Michal Kolesar,Male,,,,,,,,,,
Arnaud Maurel,Arnaud Maurel,Male,,,,,,,,,,
Sarah Hamersma,Sarah Hamersma,Female,,,,,,,,,,
Jeffrey Roth,Jeffrey Roth,Male,,,,,,,,,,
Marianne Betrand,Marianne Betrand,Female,,,,,,,,,,
Maltilde Bombardini,Maltilde Bombardini,Female,,,,,,,,,,
Emmanuel Saez,Emmanuel Saez,Male,EMMANUEL SAEZ,NBER Emmanuel Saez,,,,,,,,
Raj Chetty,Raj Chetty,Male,RAJ CHETTY,,,,,,,,,
Jordi Blanes i Vidal,Jordi Blanes I Vidal,Male,,,,,,,,,,
Mirko Draca,Mirko Draca,Male,,,,,,,,,,
Jason M. DeBacker,Jason M. Debacker,Male,Jason DeBacker,,,,,,,,,
Jennifer F. Reinganum,Jennifer F. Reinganum,Female,JENNIFER REINGANUM,,,,,,,,,
Chang Tai Hseih,Chang Tai Hseih,Male,,,,,,,,,,
Eric Hurst,Eric Hurst,Male,,,,,,,,,,
Chad Jones,Chad Jones,Male,,,,,,,,,,
Anna Piil Damm,Anna Piil Damm,Female,,,,,,,,,,
Sari Pekkala Kerr,Sari Pekkala Kerr,Female,Sari Pekka. Kerr,Sari Kerr,,,,,,,,
Elizabeth Weber Handwerker,Elizabeth Weber Handwerker,Female,,,,,,,,,,
James Spletzer,James Spletzer,Male,,,,,,,,,,
Raghavendra Rau,Raghavendra Rau,Male,,,,,,,,,,
Micheal Kremer,Micheal Kremer,Male,,,,,,,,,,
Joan Hamory Hicks,Joan Hamory Hicks,Female,,,,,,,,,,
Sarah Baird,Sarah Baird,Female,,,,,,,,,,
William Hawkins,William Hawkins,Male,,,,,,,,,,
Theodore Papageorgiou,Theodore Papageorgiou,Male,,,,,,,,,,
Julen Esteban-Pretel,Julen Esteban-Pretel,Male,,,,,,,,,,
Rafael Lopes de Melo,Rafael Lopes De Melo,Male,,,,,,,,,,
Pricila Maziero,Pricila Maziero,Female,,,,,,,,,,
Roberto Pinheiro,Roberto Pinheiro,Male,,,,,,,,,,
Hernan Ruffo,Hernan Ruffo,Male,,,,,,,,,,
Ali Shourideh,Ali Shourideh,Male,,,,,,,,,,
Florian Scheuer,Florian Scheuer,Male,,,,,,,,,,
Casey Rothschild,Casey Rothschild,Male,,,,,,,,,,
Emmanual Saez,Emmanual Saez,Male,,,,,,,,,,
Pascal Michaillat,Pascal Michaillat,Male,,,,,,,,,,
Devesh Raval,Devesh Raval,Male,,,,,,,,,,
Lius B. Torres Ruiz,Lius B. Torres Ruiz,Male,,,,,,,,,,
John Asker,John Asker,Male,,,,,,,,,,
Paul Krugman,Paul Krugman,Male,,,,,,,,,,
Judit Montoriol-Garriga,Judit Montoriol-Garriga,Female,,,,,,,,,,
Burcu Duygan-Bump,Burcu Duygan-Bump,Female,,,,,,,,,,
Alexey Levkov,Alexey Levkov,Male,,,,,,,,,,
Jan Steinsson,Jan Steinsson,Male,,,,,,,,,,
Richard Kane,Richard Kane,Male,,,,,,,,,,
Bread Herauf,Bread Herauf,Male,,,,,,,,,,
Eli Liebman,Eli Liebman,Male,,,,,,,,,,
Ryan Greenaway-McGrevy,Ryan Greenaway-Mcgrevy,Male,,,,,,,,,,
Lyubov Rozental,Lyubov Rozental,Female,,,,,,,,,,
Sarah Pack,Sarah Pack,Female,,,,,,,,,,
Abraham Dunn,Abraham Dunn,Male,,,,,,,,,,
Eli Leibman,Eli Leibman,Male,,,,,,,,,,
Anne Hall,Anne Hall,Female,,,,,,,,,,
Lixing Li,Lixing Li,Male,,,,,,,,,,
Mark Dutz,Mark Dutz,Male,,,,,,,,,,
Janet X. Hao,Janet X. Hao,Female,,,,,,,,,,
Ryan Michaels,Ryan Michaels,Male,,,,,,,,,,
Francis Tuan,Francis Tuan,Male,,,,,,,,,,
Sun Ling Wang,Sun Ling Wang,Female,,,,,,,,,,
Fred Gale,Fred Gale,Male,,,,,,,,,,
Agapi Somwaru,Agapi Somwaru,Female,,,,,,,,,,
Gaaitzen de Vries,Gaaitzen De Vries,Male,,,,,,,,,,
Bart Los,Bart Los,Male,,,,,,,,,,
Robert Stehrer,Robert Stehrer,Male,,,,,,,,,,
Abdul Azeez Erumban,Abdul Azeez Erumban,Male,,,,,,,,,,
Christopher J. Kurz,Christopher J. Kurz,Male,,,,,,,,,,
Eric J. Bartelsman,Eric J. Bartelsman,Male,ERIC BARTELSMAN,,,,,,,,,
Zoltan Wolf,Zoltan Wolf,Male,,,,,,,,,,
Gautam Bose,Gautam Bose,Male,,,,,,,,,,
Kevin F. Hallock,Kevin F. Hallock,Male,,,,,,,,,,
Ronald G. Ehrenberg,Ronald G. Ehrenberg,Male,,,,,,,,,,
Kenneth Whelan,Kenneth Whelan,Male,,,,,,,,,,
Ronald Seeber,Ronald Seeber,Male,,,,,,,,,,
Bjorn Bartling,Bjorn Bartling,Male,,,,,,,,,,
Klaus Schmidt,Klaus Schmidt,Male,,,,,,,,,,
Ernst Fehr,Ernst Fehr,Male,,,,,,,,,,
Christopher A Parsons,Christopher A Parsons,Male,Christopher A. Parsons,,,,,,,,,
Edward D. Van Wesep,Edward D. Van Wesep,Male,,,,,,,,,,
Chris Stanton,Chris Stanton,Male,,,,,,,,,,
Pedro Dal Bó,Pedro Dal Bó,Male,PEDRO DAL BO,,,,,,,,,
Giovanna Labartino,Giovanna Labartino,Female,,,,,,,,,,
Roberto Perotti,Roberto Perotti,Male,,,,,,,,,,
Francesco Trebbi,Francesco Trebbi,Male,NBER Francesco Trebbi,,,,,,,,,
Carlos Berdejo,Carlos Berdejo,Male,,,,,,,,,,
Thierry Mayer,Thierry Mayer,Male,Sciences Po Thierry Mayer,,,,,,,,,
Davin Chor,Davin Chor,Male,,,,,,,,,,
Matthew Hansen,Matthew Hansen,Male,,,,,,,,,,
Peter Potapov,Peter Potapov,Male,,,,,,,,,,
Vera Mironova,Vera Mironova,Female,,,,,,,,,,
Maria Petrova,Maria Petrova,Female,,,,,,,,,,
Konstatin Sonin,Konstatin Sonin,Male,,,,,,,,,,
Alessandro Lizzeri,Alessandro Lizzeri,Male,,,,,,,,,,
Eva de Francisco,Eva De Francisco,Female,,,,,,,,,,
Facundo Piguillem,Facundo Piguillem,Male,,,,,,,,,,
Eric Weese,Eric Weese,Male,,,,,,,,,,
Enrico Spolaore,Enrico Spolaore,Male,,,,,,,,,,
Monica Martinez-Bravo,Monica Martinez-Bravo,Female,Monica Martinez Bravo,,,,,,,,,
Gerard Padro I Miquel,Gerard Padro I Miquel,Male,Gerard Padro-i-Miquel,Gerard Padró I Miquel,GERARD PADRO-I-MIGUEL,Gerard Padro I Miguel,,,,,,
Bob Hall,Bob Hall,Male,,,,,,,,,,
Joe Vavra,Joe Vavra,Male,,,,,,,,,,
Meghan R. Busse,Meghan R. Busse,Female,MEGHAN BUSSE,,,,,,,,,
Luminita Stevens,Luminita Stevens,Female,,,,,,,,,,
Kate Baicker,Kate Baicker,Female,,,,,,,,,,
Sarah Taubman,Sarah Taubman,Female,,,,,,,,,,
Bill Wright,Bill Wright,Male,,,,,,,,,,
Mira Bernstein,Mira Bernstein,Female,,,,,,,,,,
Heidi Allen,Heidi Allen,Female,,,,,,,,,,
Richard Stanton,Richard Stanton,Male,,,,,,,,,,
Maisy Wong,Maisy Wong,Female,,,,,,,,,,
Johanna Lacoe,Johanna Lacoe,Female,,,,,,,,,,
Ingrid Gould Ellen,Ingrid Gould Ellen,Female,Ingrid Ellen,,,,,,,,,
Claudia Sharygin,Claudia Sharygin,Female,,,,,,,,,,
Arthur Krteweg,Arthur Krteweg,Male,,,,,,,,,,
Judy Geyer,Judy Geyer,Female,,,,,,,,,,
Matthew A. Turner,Matthew A. Turner,Male,MATTHEW TURNER,,,,,,,,,
Wilbert van der Klaauw,Wilbert Van Der Klaauw,Male,Wilbert H. van der Klaauw,,,,,,,,,
Panle Jia,Panle Jia,Female,,,,,,,,,,
Serdar Dinc,Serdar Dinc,Male,,,,,,,,,,
Javier Suarez,Javier Suarez,Male,,,,,,,,,,
Marcin Kacperczyk,Marcin Kacperczyk,Male,,,,,,,,,,
Philip E. Strahan,Philip E. Strahan,Male,PHILIP STRAHAN,,,,,,,,,
Kamil Yilmaz,Kamil Yilmaz,Male,,,,,,,,,,
Francis X. Diebold,Francis X. Diebold,Male,FRANK DIEBOLD,FRANCIS DIEBOLD,,,,,,,,
Kenneth J. Singleton,Kenneth J. Singleton,Male,KENNETH SINGLETON,,,,,,,,,
Francis A. Longstaff,Francis A. Longstaff,Male,FRANCIS LONGSTAFF,,,,,,,,,
Isabelle Mjean,Isabelle Mjean,Female,,,,,,,,,,
Daniel Friel,Daniel Friel,Male,,,,,,,,,,
Eswar S. Prasad,Eswar S. Prasad,Male,ESWAR PRASAD,,,,,,,,,
Alejandro Artopoulos,Alejandro Artopoulos,Male,,,,,,,,,,
Raphael Schoenle,Raphael Schoenle,Male,,,,,,,,,,
Fernando Leibovici,Fernando Leibovici,Male,,,,,,,,,,
Michael E. Waugh,Michael E. Waugh,Male,MICHAEL WAUGH,,,,,,,,,
Matthieu Bussiere,Matthieu Bussiere,Male,,,,,,,,,,
Ander Perez,Ander Perez,Male,,,,,,,,,,
Andrew Glover,Andrew Glover,Male,,,,,,,,,,
Jake Short,Jake Short,Male,,,,,,,,,,
Arpad Abraham,Arpad Abraham,Male,,,,,,,,,,
Sarolta Laczo,Sarolta Laczo,Female,,,,,,,,,,
Michelle T. Rendall,Michelle T. Rendall,Female,,,,,,,,,,
Jose Mustre-del-Rio,Jose Mustre-Del-Rio,Male,,,,,,,,,,
Kate Smith,Kate Smith,Female,,,,,,,,,,
Lee Lockwood,Lee Lockwood,Male,,,,,,,,,,
Nils Gornemann,Nils Gornemann,Male,,,,,,,,,,
Keith Kuester,Keith Kuester,Male,,,,,,,,,,
Luc Arrondel,Luc Arrondel,Male,,,,,,,,,,
Hector F. Calvo-Pardo,Hector F. Calvo-Pardo,Male,,,,,,,,,,
Derya Tas,Derya Tas,Female,,,,,,,,,,
Serdar Ozkan,Serdar Ozkan,Male,,,,,,,,,,
Valerio Ercolani,Valerio Ercolani,Male,,,,,,,,,,
German Cubas,German Cubas,Male,,,,,,,,,,
Pedro Silos,Pedro Silos,Male,,,,,,,,,,
Loretti I. Dobrescu,Loretti I. Dobrescu,Female,,,,,,,,,,
John N. Friedman,John N. Friedman,Male,John Friedman,,,,,,,,,
Zoran Ivkovich,Zoran Ivkovich,Male,,,,,,,,,,
Daniel J. Benjamin,Daniel J. Benjamin,Male,,,,,,,,,,
Nichole Szembrot,Nichole Szembrot,Female,,,,,,,,,,
Ori Heffetz,Ori Heffetz,Male,,,,,,,,,,
Miles S. Kimball,Miles S. Kimball,Male,MILES KIMBALL,,,,,,,,,
Irina Stefanescu,Irina Stefanescu,Female,,,,,,,,,,
Dmitry Stolyarov,Dmitry Stolyarov,Male,,,,,,,,,,
Peter Haan,Peter Haan,Male,,,,,,,,,,
Victoria L. Prowse,Victoria L. Prowse,Female,,,,,,,,,,
Mona Larsen,Mona Larsen,Female,,,,,,,,,,
Andrew Mason,Andrew Mason,Male,,,,,,,,,,
Samuel H. Preston,Samuel H. Preston,Male,Samuel Preston,,,,,,,,,
Anette Reil-Held,Anette Reil-Held,Female,,,,,,,,,,
Michela Coppola,Michela Coppola,Female,,,,,,,,,,
Jennifer Kurkoski,Jennifer Kurkoski,Female,,,,,,,,,,
Cade Massey,Cade Massey,Male,,,,,,,,,,
Emily Haisley,Emily Haisley,Female,,,,,,,,,,
Timothy John Moore,Timothy John Moore,Male,Timothy Moore,Timothy J. Moore,,,,,,,,
Maria Casanova,Maria Casanova,Female,,,,,,,,,,
Aaron Sojourner,Aaron Sojourner,Male,,,,,,,,,,
Haoxiang Zhu,Haoxiang Zhu,Male,,,,,,,,,,
Songzi Du,Songzi Du,Male,,,,,,,,,,
Evert Vrugt,Evert Vrugt,Male,,,,,,,,,,
Jason Chen,Jason Chen,Male,,,,,,,,,,
Konstantin Milbradt,Konstantin Milbradt,Male,,,,,,,,,,
Alexi Savov,Alexi Savov,Male,,,,,,,,,,
Jennie Bai,Jennie Bai,Female,,,,,,,,,,
Scott Condie,Scott Condie,Male,,,,,,,,,,
Philipp Illeditsch,Philipp Illeditsch,Male,,,,,,,,,,
Jayant Ganguli,Jayant Ganguli,Male,,,,,,,,,,
Jonathan B. Berk,Jonathan B. Berk,Male,,,,,,,,,,
Ilya Strebulaev,Ilya Strebulaev,Male,,,,,,,,,,
Yu Xu,Yu Xu,Male,,,,,,,,,,
Jakub W. Jurek,Jakub W. Jurek,Male,JAKUB JUREK,,,,,,,,,
Loukas Karabarbounis,Loukas Karabarbounis,Male,,,,,,,,,,
Dmitriy Sergeyev,Dmitriy Sergeyev,Male,,,,,,,,,,
Chichun Fang,Chichun Fang,Male,,,,,,,,,,
Tyler Muir,Tyler Muir,Male,,,,,,,,,,
Ester Duflo,Ester Duflo,Female,,,,,,,,,,
Manisha Shah,Manisha Shah,Female,,,,,,,,,,
Bryce Millett,Bryce Millett,Male,,,,,,,,,,
Thurston Domina,Thurston Domina,Male,,,,,,,,,,
Hilary W. Hoynes,Hilary W. Hoynes,Female,HILARY HOYNES,,,,,,,,,
Tom Vogl,Tom Vogl,Male,,,,,,,,,,
Katrine Loken,Katrine Loken,Female,,,,,,,,,,
Magne Mogstad,Magne Mogstad,Male,,,,,,,,,,
Laura R. Wherry,Laura R. Wherry,Female,Laura R.. Wherry,,,,,,,,,
Susan Wong,Susan Wong,Female,,,,,,,,,,
Junko Onishi,Junko Onishi,Female,,,,,,,,,,
Marta Rubio-Codina,Marta Rubio-Codina,Female,,,,,,,,,,
Sally Grantham-McGregor,Sally Grantham-Mcgregor,Female,,,,,,,,,,
Emla Fitzsimons,Emla Fitzsimons,Female,,,,,,,,,,
XavierGiroud,Xaviergiroud,Male,,,,,,,,,,
Daniel Carvalho,Daniel Carvalho,Male,,,,,,,,,,
Steven N. Kaplan,Steven N. Kaplan,Male,STEVE KAPLAN,,,,,,,,,
Tim Jenkinson,Tim Jenkinson,Male,,,,,,,,,,
Robert S. Harris,Robert S. Harris,Male,,,,,,,,,,
Margarita Tsoutsoura,Margarita Tsoutsoura,Female,,,,,,,,,,
Nikolaos Artavanis,Nikolaos Artavanis,Male,,,,,,,,,,
Nittai Bergman,Nittai Bergman,Male,,,,,,,,,,
Ing-Haw Cheng,Ing-Haw Cheng,Male,,,,,,,,,,
Sahil Raina,Sahil Raina,Male,,,,,,,,,,
Sam Hanson,Sam Hanson,Male,,,,,,,,,,
Royal Holloway,Royal Holloway,Unknown,,,,,,,,,,
Arnaud Chevalier,Arnaud Chevalier,Male,,,,,,,,,,
Nancy Nicosia,Nancy Nicosia,Female,,,,,,,,,,
Emma Hanes,Emma Hanes,Female,,,,,,,,,,
Sara Heller,Sara Heller,Female,,,,,,,,,,
Roseanna Ander,Roseanna Ander,Female,,,,,,,,,,
David Skarbek,David Skarbek,Male,,,,,,,,,,
Marit Rehavi,Marit Rehavi,Female,,,,,,,,,,
Dara Lee,Dara Lee,Female,,,,,,,,,,
Aaron Chalfin,Aaron Chalfin,Male,,,,,,,,,,
Chris Winship,Chris Winship,Male,,,,,,,,,,
Jennifer Doleac,Jennifer Doleac,Female,,,,,,,,,,
Craig Garthwaite,Craig Garthwaite,Male,,,,,,,,,,
William Evans,William Evans,Male,,,,,,,,,,
Harald Fadinger,Harald Fadinger,Male,,,,,,,,,,
Judith Frias,Judith Frias,Female,,,,,,,,,,
Todd Kumler,Todd Kumler,Male,,,,,,,,,,
Achyuta Adhvaryu,Achyuta Adhvaryu,Male,,,,,,,,,,
Siddharth Sharma,Siddharth Sharma,Male,,,,,,,,,,
Amalavoyal Chari,Amalavoyal Chari,Male,,,,,,,,,,
Elizabeth Lyons,Elizabeth Lyons,Female,,,,,,,,,,
Ajay K. Agrawal,Ajay K. Agrawal,Male,AJAY AGRAWAL,,,,,,,,,
Jessica Goldberg,Jessica Goldberg,Female,,,,,,,,,,
Chang-Tai Hsien,Chang-Tai Hsien,Male,,,,,,,,,,
Jeffrey G. Williamson,Jeffrey G. Williamson,Male,,,,,,,,,,
Peter H. Lindert,Peter H. Lindert,Male,Peter Lindert,,,,,,,,,
Mary T. Rodgers,Mary T. Rodgers,Female,,,,,,,,,,
James E. Payne,James E. Payne,Male,,,,,,,,,,
B. Zorina Khan,B. Zorina Khan,Female,ZORINA KHAN,,,,,,,,,
Robert E. Wright,Robert E. Wright,Male,ROBERT WRIGHT,,,,,,,,,
Ryan L. Lampe,Ryan L. Lampe,Male,Ryan Lampe,,,,,,,,,
William J. White,William J. White,Male,,,,,,,,,,
Alexander T. Whalley,Alexander T. Whalley,Male,ALEXANDER WHALLEY,,,,,,,,,
Richard C. Sutch,Richard C. Sutch,Male,RICHARD SUTCH,,,,,,,,,
Daniel K. Fetter,Daniel K. Fetter,Male,,,,,,,,,,
Michael R. Haines,Michael R. Haines,Male,MICHAEL HAINES,,,,,,,,,
Zeynep K. Hansen,Zeynep K. Hansen,Female,ZEYNEP HANSEN,,,,,,,,,
Scott Lowe,Scott Lowe,Male,,,,,,,,,,
Christopher Hanes,Christopher Hanes,Male,,,,,,,,,,
Jaroslav Borovicka,Jaroslav Borovicka,Male,,,,,,,,,,
Maik Wolters,Maik Wolters,Male,,,,,,,,,,
Leonardo Melosi,Leonardo Melosi,Male,,,,,,,,,,
Saroj Bhattarai,Saroj Bhattarai,Male,,,,,,,,,,
Claudia Foroni,Claudia Foroni,Female,,,,,,,,,,
Lutz Hendricks,Lutz Hendricks,Male,,,,,,,,,,
Tommaso Porzio,Tommaso Porzio,Male,,,,,,,,,,
Michael Peters,Michael Peters,Male,,,,,,,,,,
Milagro Saborio-Rodriguez,Milagro Saborio-Rodriguez,Female,,,,,,,,,,
David Lassen,David Lassen,Male,,,,,,,,,,
Claus Kreiner,Claus Kreiner,Male,,,,,,,,,,
Lorenz Kueng,Lorenz Kueng,Male,,,,,,,,,,
Michal Grinstein-Weiss,Michal Grinstein-Weiss,Female,,,,,,,,,,
William Rohe,William Rohe,Male,,,,,,,,,,
Mark Schreiner,Mark Schreiner,Male,,,,,,,,,,
Clinton Key,Clinton Key,Male,,,,,,,,,,
Michael Sherraden,Michael Sherraden,Male,,,,,,,,,,
Stephan Siegel,Stephan Siegel,Male,,,,,,,,,,
Patrick Johnston,Patrick Johnston,Male,,,,,,,,,,
Benjamin Crost,Benjamin Crost,Male,,,,,,,,,,
Stephen Biddle,Stephen Biddle,Male,,,,,,,,,,
Basit Zafar,Basit Zafar,Male,,,,,,,,,,
Deepa Dhume Datta,Deepa Dhume Datta,Female,,,,,,,,,,
Carl J. Liebersohn,Carl J. Liebersohn,Male,,,,,,,,,,
Juan-Miguel Londono-Yarce,Juan-Miguel Londono-Yarce,Male,,,,,,,,,,
Fotini Christia,Fotini Christia,Female,,,,,,,,,,
Andrew Beath,Andrew Beath,Male,,,,,,,,,,
Scott A. Imberman,Scott A. Imberman,Male,,,,,,,,,,
Scott E. Carrell,Scott E. Carrell,Male,SCOTT CARRELL,,,,,,,,,
C. Kirabo Jackson,C. Kirabo Jackson,Male,KIRABO CLEMENT JACKSON,,,,,,,,,
Jeffrey Smith,Jeffrey Smith,Male,,,,,,,,,,
Trudie Schils,Trudie Schils,Female,,,,,,,,,,
Edward L. Glaeser,Edward L. Glaeser,Male,,,,,,,,,,
Thomas Noe,Thomas Noe,Male,,,,,,,,,,
Petra Persson,Petra Persson,Female,,,,,,,,,,
Ramana Nanda,Ramana Nanda,Male,,,,,,,,,,
Bo Zhao,Bo Zhao,Male,,,,,,,,,,
