author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,,
Joni Hersch,Compensating Differentials for Sexual Harassment,Vanderbilt University,Jan 08 2011,10:15 AM,"Sheraton, Director's Row I",American Economic Association,Gender and Labor Markets,J7,Nicole Fortin,University of British Columbia,Joyce Jacobsen,Wesleyan University,Wayne Grove,Le Moyne College,Saranna Thornton,Hampden-Sydney College,Kai Li,University of British Columbia,,,JONI HERSCH,Female,,,,,,NA,NA,NA,NA,NA,,
Joon Park,Model Selection Testing for Diffusion Processes with Applications to Interest Rate and Exchange Rate Models,Indiana University,Jan 09 2011,10:15 AM,"Sheraton, Century",American Economic Association,Exchange Rates,F3,Cornelis Los,University of Lethbridge,,,,,,,,,,,JOON PARK,Male,,,,,,NA,NA,NA,NA,NA,,
Jose A. Scheinkman,Yesterday’s Heroes: Compensation and Creative Risk-Taking,Princeton University,Jan 09 2011,1:00 PM,"Marriott, Colorado Salons I & J",American Finance Association,"Managerial Incentives, Risk-Taking, and Performance",G3,Shawn Cole,Harvard Business School,Nicola Gennaioli,Centro di Ricerca sull'Economia delle Istituzioni,Bilal Zia,World Bank,Oguzhan Karakas,London Business School,Adair Morse,University of Chicago,,,Jose A. Scheinkman,Male,JOSE SCHEINKMAN,,,,,NA,NA,NA,NA,NA,,
Jose-Luis Peydro,Trusting the Bankers: Another Look at the Credit Channel of Monetary Policy,European Central Bank,Jan 08 2011,10:15 AM,"Sheraton, Century",American Economic Association,Monetary Policy,E3,Peter Rousseau,Vanderbilt University,,,,,,,,,,,Jose-Luis Peydro,Male,,,,,,NA,NA,NA,NA,NA,,
Jose-Luis Peydro,Credit Supply: Identifying Balance-Sheet Channels with Loan Applications and Granted Loans,European Central Bank,Jan 08 2011,8:00 AM,"Sheraton, Governor's Square 12",American Economic Association,The Bank Capital Crunch and the Financial Crisis of 2007-2008: Micro-evidence from Europe,E5,Gregory Udell,Indiana University,Rajkamal Iyer,Massachusetts Institute of Technology,Gregory Udell,Indiana University,Ugo Albertazzi,Banca d'Italia,Jose-Luis Peydro,European Central Bank,,,Jose-Luis Peydro,Male,,,,,,NA,NA,NA,NA,NA,,
Jose-Luis Peydro,Interbank Liquidity Crunch and the Firm Credit Crunch: Evidence from the 2007-2009 Crisis,European Central Bank,Jan 08 2011,8:00 AM,"Sheraton, Governor's Square 12",American Economic Association,The Bank Capital Crunch and the Financial Crisis of 2007-2008: Micro-evidence from Europe,E5,Gregory Udell,Indiana University,Rajkamal Iyer,Massachusetts Institute of Technology,Gregory Udell,Indiana University,Ugo Albertazzi,Banca d'Italia,Jose-Luis Peydro,European Central Bank,,,Jose-Luis Peydro,Male,,,,,,NA,NA,NA,NA,NA,,
Jose-Luis Peydro,"Bank Risk-Taking, Securitization, Supervision, and Low Interest Rates: Evidence from Lending Standards",European Central Bank,Jan 07 2011,8:00 AM,"Marriott, Colorado Salons G & H",American Finance Association,Financial Institutions and Risk Taking,G2,Jie Gan,Hong Kong University of Science & Technology (HKUST),Oguzhan Ozbas,University of Southern California-Marshall School of Business,Sreedhar Bharath,University of Michigan-Ann Arbor,James Barth,Auburn University,Paolo Fulghieri,University of North Carolina-Chapel Hill,,,Jose-Luis Peydro,Male,,,,,,NA,NA,NA,NA,NA,,
Joseph Gagnon,The Financial-Market Effects of the Federal Reserve's Large-Scale Asset Purchases,Peterson Institute for International Economics,Jan 08 2011,2:30 PM,"Sheraton, Columbine",American Economic Association,Monetary Policy in Financial Crises,E5,Robin Greenwood,Harvard Business School,Tobias Adrian,Federal Reserve Bank of New York,Wei Xiong,Princeton University,Eric Swanson,Federal Reserve Bank of San Francisco,Viral Acharya,New York University,,,JOSEPH GAGNON,Male,,,,,,NA,NA,NA,NA,NA,,
Joseph Gyourko,"Land Sale, Housing Supply and Housing Bubble: A Study of China's Housing Market",University of Pennsylvania,Jan 08 2011,8:00 AM,"Marriott, Denver Suite V & VI",American Real Estate & Urban Economic Association,Land Prices,R3,Stanley Longhofer,Wichita State University,Jan Brueckner,University of California-Irvine,Stevew Malpezzi,University of Wisconsin,John E. Anderson,University of Nebraska-Lincoln,Henry Munneke,University of Georgia,,,JOSEPH GYOURKO,Male,,,,,,NA,NA,NA,NA,NA,,
Joseph Hotz,Regulating the Supply of Informal Child Care in the U.S,"Duke University, NBER and IZA",Jan 09 2011,1:00 PM,"Sheraton, Governor's Square 10",American Economic Association,Professional Licensing,L5,Morris Kleiner,University of Minnesota and NBER,Charles Wheelan,University of Chicago,Marc Law,University of Vermont,Mindy Marks,University of California-Riverside,Daniela Del Boca,University of Turin and Collegio Carlo Alberto,,,JOSEPH HOTZ,Male,,,,,,NA,NA,NA,NA,NA,,
Joseph P. Newhouse,"Assessing the Productivity of Healthcare Spending on Chronic Disease: Evidence from Diabetes Treatment, 1997-2009",Harvard University,Jan 09 2011,8:00 AM,"Sheraton, Governor's Square 9",American Economic Association,Frontiers of Productivity and Output Measurement,O4,Matthew Shapiro,University of Michigan,Charles Jones,Stanford University,Emi Nakamura,Columbia University,Ana Aizcorbe,Bureau of Economic Analysis,,,,,JOSEPH P. NEWHOUSE,Male,JOSEPH NEWHOUSE,,,,,NA,NA,NA,NA,NA,,
Joseph P. Newhouse,Are Drugs Substitutes or Complements for Intensive (and Expensive) Medical Treatment? Evidence from Geographic Variation in Medicare Medical and Drug Spending,Harvard University,Jan 07 2011,2:30 PM,"Sheraton, Governor's Square 17",American Economic Association,The Economics of the Medicare Part D Prescription Drug Program,I1,Jonathan Gruber,Massachusetts Institute of Technology,David Laibson,Harvard University,Claudio Lucarelli,Cornell University,Wesley Yin,Boston University,Marty Gaynor,Carnegie Mellon University,,,JOSEPH P. NEWHOUSE,Male,JOSEPH NEWHOUSE,,,,,NA,NA,NA,NA,NA,,
Joshua Aizenman,"Reflections on the Deleveraging Crisis of 2008-09, and a Cost-Benefit Analysis",University of California-Santa Cruz and NBER,Jan 07 2011,2:30 PM,"Marriott, Mattie Silks",International Economic & Finance Society,Lessons and Policy Implications from the Global Financial Crisis,F3,Joshua Aizenman,University of California-Santa Cruz and NBER,Dale Henderson,Federal Reserve Board and Georgetown University,,,,,,,,,JOSHUA AIZENMAN,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Aizenman,Net Fiscal Stimulus During the Great Recession,University of California-Santa Cruz and NBER,Jan 09 2011,10:15 AM,"Sheraton, Gold",American Economic Association,Fiscal Interventions,E6,Stephen Buckles,Vanderbilt University,,,,,,,,,,,JOSHUA AIZENMAN,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Aizenman,Inflation Targeting and Real Exchange Rates in Emerging Markets,University of California-Santa Cruz,Jan 07 2011,10:15 AM,"Hyatt Regency, Mineral Hall F",Association for Comparative Economic Studies,Inflation Targeting: Recent Developments,E5,Ali Kutan,Southern Illinois University Edwardsville,William T. Gavin,The Federal Reserve Bank of St. Louis,Lucjan Orlowski,Sacred Heart University,Pierre Siklos,Wilfrid Laurier University,Hakan Yilmazkuday,Temple University,,,JOSHUA AIZENMAN,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Angrist,Long-term Consequences of Vietnam-Era Conscription: New Estimates Using Social Security Data,Massachusetts Institute of Technology,Jan 07 2011,10:15 AM,"Sheraton, Director's Row E",American Economic Association,Causal Effects of Vietnam-Era Military Service on Health and Welfare,I1,Charlie Brown,University of Michigan,Daniel Eisenberg,University of Michigan,Joseph Doyle,Massachusetts Institute of Technology,Abigail Wozniak,University of Notre Dame,Chris Rohlfs,Syracuse University,,,JOSHUA ANGRIST,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Gans,Racing for Priority: Patents and Publications in Knowledge Competitions,Melbourne Business School and Harvard University,Jan 07 2011,2:30 PM,"Sheraton, Governor's Square 10",American Economic Association,Intellectual Property and Innovation,L1,Koleman Strumpf,University of Kansas,Timothy Bresnahan,Stanford University,John Van Reenen,London School of Economics,Timothy Simcoe,Boston University,Julie Mortimer,Harvard University,,,JOSHUA GANS,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Goodman,The Labor of Division: Returns to Compulsory Math Course Work,Harvard University,Jan 09 2011,1:00 PM,"Sheraton, Governor's Square 16",American Economic Association,Education Production Functions: Inputs and Outputs,I2,Joshua Angrist,Massachusetts Institute of Technology,Julie Berry Cullen,University of California-San Diego,Jeffrey Smith,University of Michigan,Richard Murnane,Harvard University,David Figlio,Northwestern University,,,Joshua Goodman,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Graff Zivin,The Impact of Environmental Conditions on Worker Productivity,"University of California, San Diego",Jan 07 2011,8:00 AM,"Hyatt Regency, Capitol 6",Association of Environmental & Resource Economists,The Costs and Benefits of Pollution Control,Q5,Richard Carson,"University of California, San Diego",Soren Andersen,Michigan State University,Shanjun Li,Resources for the Future,Richard Carson,"University of California, San Diego",Fabian Lange,Yale University,Ken Baerenklau,University of California-Riverside,JOSHUA GRAFF ZIVIN,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Graff Zivin,Water Quality Violations and Avoidance Behavior: Evidence from Bottled Water Consumption,University of Southern California,Jan 09 2011,10:15 AM,"Sheraton, Governor's Square 10",American Economic Association,Responses to Environmental Regulation,Q5,Michael Greenstone,MIT,Joshua Graff Zivin,University of Southern California,Olivier Deschenes,University of California-Santa Barbara,Lucas Davis,University of California-Berkeley,,,,,JOSHUA GRAFF ZIVIN,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Greenfield,From Groundnuts to Globalization: A Structural Estimate of Trade and Growth,Columbia University,Jan 09 2011,10:15 AM,"Sheraton, Governor's Square 11",American Economic Association,Prospects for the Global Trading System,F1,Bernard Hoekman,World Bank,Peter Neary,Oxford University,Ann Harrison,Columbia Business School,Patrick Low,World Trade Organization,Bernard Hoekman,World Bank,,,JOSHUA GREENFIELD,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Linn,"Evaluating \Cash for Clunkers\"": Program Effect on Vehicle Sales and Cost-Effectiveness of Pollution Control""",Resources for the Future,Jan 07 2011,8:00 AM,"Hyatt Regency, Capitol 6",Association of Environmental & Resource Economists,The Costs and Benefits of Pollution Control,Q5,Richard Carson,"University of California, San Diego",Soren Andersen,Michigan State University,Shanjun Li,Resources for the Future,Richard Carson,"University of California, San Diego",Fabian Lange,Yale University,Ken Baerenklau,University of California-Riverside,JOSHUA LINN,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Rauh,Fiscal Imbalances and Borrowing Costs: Evidence from State Investment Losses,Northwestern University,Jan 07 2011,10:15 AM,"Sheraton, Silver",American Economic Association,Financial Markets and State and Local Government Borrowing,H7,James Poterba,Massachusetts Institute of Technology and NBER,Kim Rueben,Urban Institute,John Chalmers,University of Oregon,Andrew Biggs,American Enterprise Institute,David Joulfaian,U.S. Treasury Department,,,JOSHUA RAUH,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Schwartzstein,Health Insurance Policy when People may make Mistakes,Dartmouth College,Jan 07 2011,10:15 AM,"Sheraton, Governor's Square 12",American Economic Association,Optimal Fiscal Policy,H2,Alexander Gelber,University of Pennsylvania and NBER,Matthew Weinzierl,Harvard Business School,Damon Jones,University of Chicago,John Friedman,Harvard University,Alexander Gelber,University of Pennsylvania,,,Joshua Schwartzstein,Male,,,,,,NA,NA,NA,NA,NA,,
Joyce Manchester,"Changes in Earnings and Labor Force Attachment of Applicants for Social Security Disability Insurance Benefits, 1977-2009",Congressional Budget Office,Jan 08 2011,2:30 PM,"Hyatt Regency, Granite C",Society of Government Economists,Claiming and Eligibility for Social Insurance Programs Using Administrative Data,H3,Mark Duggan,Council of Economic Advisors and University of Maryland,Gayle L. Reznik,Social Security Administration,Maximilian D. Schmeiser,University of Wisconsin-Madison,Till von Wachter,Columbia University,,,,,JOYCE MANCHESTER,Female,,,,,,NA,NA,NA,NA,NA,,
Joyce Manchester,Long-Term Earnings Losses Due to Mass Layoffs during the 1982 Recession: An Analysis Using U.S. Administrative Data from 1974 to 2004,Congressional Budget Office,Jan 08 2011,10:15 AM,"Marriott, Spruce",National Association of Forensic Economics,Forensic Economics III,K4,Craig Allen,FCAS,Kevin E. Cahill,Boston College,Lawrence M. Spizman,State University of New York-Oswego,Thomas Roney,"Thomas Roney, LLC",,,,,JOYCE MANCHESTER,Female,,,,,,NA,NA,NA,NA,NA,,
Juan Carlos Hatchondo,Debt Dilution and Sovereign Default Risk,Federal Reserve Bank of Richmond,Jan 08 2011,8:00 AM,"Sheraton, Governor's Square 10",American Economic Association,Advances in International Macroeconomics,F4,Enrique Mendoza,University of Maryland and NBER,Bora Durdu,Federal Reserve Board,Pablo D'Erasmo,University of Maryland,Anton Korinek,University of Maryland,Vivian Yue,New York University,,,Juan Carlos Hatchondo,Male,Juan C. Hatchondo,Juan. Hatchondo,,,,NA,NA,NA,NA,NA,,
Juan Pantano,The Unwanted: Negative Outcomes Over the Life Cycle,Washington University in St. Louis,Jan 07 2011,2:30 PM,"Sheraton, Governor's Square 11",American Economic Association,New Empirics of Public Policy and Fertility in the U.S.,J1,Juan Pantano,Washington University in St. Louis,Melissa Kearney,University of Maryland,Robert Pollak,Washington University in St. Louis,Marianne Bitler,University of California-Irvine,V. Joseph Hotz,Duke University,,,Juan Pantano,Male,,,,,,NA,NA,NA,NA,NA,,
Juan Sanchez,Default: Bankruptcy or Delinquency?,Federal Reserve Bank of Richmond,Jan 09 2011,8:00 AM,"Sheraton, Vail",American Economic Association,Asset Prices,E2,Sheng Guo,Florida International University,,,,,,,,,,,Juan Sanchez,Male,,,,,,NA,NA,NA,NA,NA,,
Julie Berry Cullen,Jockeying for Position: Strategic High School Choice Under Texas' Top Ten Percent Plan,University of California-San Diego,Jan 09 2011,8:00 AM,"Sheraton, Governor's Square 12",American Economic Association,School Choice and School Quality,I2,Simon Burgess,University of Bristol,Brian Jacob,University of Michigan,Sandra Black,University of California-Los Angeles,Steve Rivkin,Amherst College,Jacob Vigdor,Duke University,,,JULIE BERRY CULLEN,Female,JULIE CULLEN,,,,,NA,NA,NA,NA,NA,,
Julie Zissimopoulos,Marriage and Economic Well-Being at Older Ages,RAND,Jan 09 2011,10:15 AM,"Sheraton, Terrace",American Economic Association,Gender and the Economics of the Household and Family,J4,Shoshana Grossbard,San Diego State University,Robert Pollak,Washington University,Olivia Mitchell,University of Pennsylvania,Shelly Lundberg,University of Washington,Nabanita Datta Gupta,Aarhus University,,,JULIE ZISSIMOPOULOS,Female,,,,,,NA,NA,NA,NA,NA,,
Julien Bengui,Systemic Risk and Inefficient Debt Maturity,University of Maryland,Jan 08 2011,2:30 PM,"Sheraton, Governor's Square 10",American Economic Association,"Financial Crises, Systemic Risk and Macroprudential Regulation",E6,Markus Brunnermeier,Princeton University,Anton Korinek,University of Maryland,Vito Gala,London Business School,Guido Lorenzoni,Massachusetts Institute of Technology,,,,,Julien Bengui,Male,,,,,,NA,NA,NA,NA,NA,,
Justin Rao,"The Power of Asking: How Communication Affects Selfishness, Empathy, and Altruism",Yahoo! Research Labs,Jan 09 2011,8:00 AM,"Sheraton, Denver",American Economic Association,"Chatting, Bonding, Bribing - How Social Interaction Affects Other-Regarding Behavior",D6,Ernst Fehr,University of Zuerich,Colin Camerer,CalTech,Steven Tadelis,University of California-Berkeley,Rachel Crosson,University of Texas-Dallas,George Loewenstein,Carnegie Mellon University,,,Justin Rao,Male,,,,,,NA,NA,NA,NA,NA,,
Justin Wolfers,Explaining Trust in Public Institutions,University of Pennsylvania,Jan 07 2011,2:30 PM,"Sheraton, Silver",American Economic Association,Law and Economics,K0,Henry Farber,Princeton University,Christopher Snyder,Dartmouth College,Philip Cook,Duke University,,,,,,,JUSTIN WOLFERS,Male,,,,,,NA,NA,NA,NA,NA,,
Justine S. Hastings,No Child Left Behind: Estimating the Impact on Choices and Student Outcomes,Yale University,Jan 08 2011,10:15 AM,"Sheraton, Vail",American Economic Association,School Accountability and Student Outcomes: The Impact of No Child Left Behind,I2,Jonah Rockoff,Columbia Business School,David Figlio,Northwestern University,Steven G. Rivkin,Amherst College,Bruce Sacerdote,Dartmouth College,Brian A. Jacob,University of Michigan,,,Justine S. Hastings,Female,JUSTINE HASTINGS,,,,,NA,NA,NA,NA,NA,,
Kai Li,Toward a Quantitative General Equilibrium Asset Pricing Model with Intangible Capital,Duke University,Jan 09 2011,10:15 AM,"Marriott, Colorado Salons A & B",American Finance Association,Asset Pricing Theory,G1,Stavros Panageas,University of Chicago,Andrea Eisfeldt,Northwestern University,Ronald Giammarino,University of British Columbia,Lars Hansen,University of Chicago,Nicolae Garleanu,University of California-Berkeley,,,Kai Li,Male,,,,,,NA,NA,NA,NA,NA,,
Kai-Uwe Kuhn,Leveraging Monopoly Power by Limiting Interoperability: Theory and Evidence from the Computer Market,University of Michigan,Jan 09 2011,1:00 PM,"Sheraton, Denver",American Economic Association,New Advances in the Econometrics of Foreclosure,L4,John Reenen,London School of Economics,Kai-Uwe Kuhn,University of Michigan,Frank Verboven,Catholic University of Leuven,Timothy Derdenger,Carnegie Mellon University,Christopher Knittel,University of California-Davis,,,KAI-UWE KUHN,Male,,,,,,NA,NA,NA,NA,NA,,
Kalman Rupp,The Role of the Supplemental Security Income (SSI) Program in Disability Cash Benefit and Public Health Insurance Coverage in the Working-Age Population,Social Security Administration,Jan 08 2011,2:30 PM,"Hyatt Regency, Granite C",Society of Government Economists,Claiming and Eligibility for Social Insurance Programs Using Administrative Data,H3,Mark Duggan,Council of Economic Advisors and University of Maryland,Gayle L. Reznik,Social Security Administration,Maximilian D. Schmeiser,University of Wisconsin-Madison,Till von Wachter,Columbia University,,,,,Kalman Rupp,Male,,,,,,NA,NA,NA,NA,NA,,
Karel Mertens,Leverage and the Financial Accelerator in a Liquidity Trap,Cornell University,Jan 08 2011,8:00 AM,"Sheraton, Governor's Square 16",American Economic Association,New Approaches for Modeling Risk in Macroeconomics,E3,Helene Rey,London Business School,Cédric Tille,HEI Geneve,Nicolas Coeurdacier,London Business School,Karel Mertens,Cornell University,Tarek Hassan,University of Chicago,Philippe Bachetta,University of Lausanne,Karel Mertens,Male,,,,,,NA,NA,NA,NA,NA,,
Karen K. Lewis,Differences of Opinion and International Equity Markets,University of Pennsylvania,Jan 09 2011,1:00 PM,"Marriott, Colorado Salons A & B",American Finance Association,International Financial Markets 2,G1,Lemma Senbet,University of Maryland,Linda Tesar,University of Michigan-Ann Arbor,Mark Loewenstein,University of Maryland,Leonid Kogan,Massachusetts Institute of Technology,,,,,Karen K. Lewis,Female,,,,,,NA,NA,NA,NA,NA,,
Kartik Athreya,The Education Risk Premium,Federal Reserve Bank of Richmond,Jan 09 2011,1:00 PM,"Sheraton, Governor's Square 11",American Economic Association,Risk and Expectations in Higher Education,I2,Caroline Hoxby,Stanford University,Caroline Hoxby,Stanford University,Geni Dechter,University of New South Wales,Bruce Sacerdote,Dartmouth College,Stacey Chen,Royal Holloway University of London and IFS/UCL,,,Kartik Athreya,Male,,,,,,NA,NA,NA,NA,NA,,
Kartik Athreya,Default: Bankruptcy or Delinquency?,Federal Reserve Bank of Richmond,Jan 09 2011,8:00 AM,"Sheraton, Vail",American Economic Association,Asset Prices,E2,Sheng Guo,Florida International University,,,,,,,,,,,Kartik Athreya,Male,,,,,,NA,NA,NA,NA,NA,,
Kasper Roszbach,Collateral and Bank Monitoring: Friends or Foes? Evidence from a Natural Experiment,Sveriges Riksbank,Jan 08 2011,10:15 AM,"Marriott, Pomeroy",International Banking Economics & Finance Association,Too-Big-to-Fail and Safety Net Subsidies,G1,Robert DeYoung,University of Kansas,Robert DeYoung,University of Kansas,,,,,,,,,Kasper Roszbach,Male,,,,,,NA,NA,NA,NA,NA,,
Kate Ho,The Use of FLF contracts in the Video Rental Industry,Columbia University,Jan 07 2011,2:30 PM,"Hyatt Regency, Mineral Hall G",Chinese Economic Association in North America/American Economic Association,Industrial Organization,L2,Serena Ng,Columbia University,Matt Shum,California Institute of Technology,Han Hong,Stanford University,Panle Jia,Massachusetts Institute of Technology,Andrew Ching,University of Toronto,,,Kate Ho,Female,,,,,,NA,NA,NA,NA,NA,,
Katharina Lewellen,Performance-Induced CEO Turnover,Dartmouth College,Jan 08 2011,8:00 AM,"Marriott, Colorado Salon E",American Finance Association,Executive Compensation and Turnover,G3,Carola Frydman,Massachusetts Institute of Technology,Michael Lemmon,University of Utah,Laura Starks,University of Texas-Austin,Camelia Kuhnen,Northwestern University,,,,,Katharina Lewellen,Female,,,,,,NA,NA,NA,NA,NA,,
Katharina Lewellen,CEO Preferences and Acquisitions,Dartmouth College,Jan 08 2011,2:30 PM,"Sheraton, Director's Row J",Econometric Society,Corporate Governance,G3,Dirk Jenter,Stanford University,Kevin Murphy,University of Southern California,Francisco Perez-Gonzales,Stanford University,Martijn Cremers,Yale University,,,,,Katharina Lewellen,Female,,,,,,NA,NA,NA,NA,NA,,
Katharine G. Abraham,Short-Time Compensation as a Tool for Mitigating Job Loss,University of Maryland,Jan 07 2011,8:00 AM,"Westin Tabor, Lawrence A",Labor & Employment Relations Association,Recovery from the Crisis: Comparing Labor Market Policies in Europe and the United States,J8,Stephen Woodbury,Michigan State University,Susan R. Helper,Case Western Reserve University,,,,,,,,,Katharine G. Abraham,Female,Katharine Abraham,,,,,NA,NA,NA,NA,NA,,
Katherine Baicker,Are Drugs Substitutes or Complements for Intensive (and Expensive) Medical Treatment? Evidence from Geographic Variation in Medicare Medical and Drug Spending,Harvard University,Jan 07 2011,2:30 PM,"Sheraton, Governor's Square 17",American Economic Association,The Economics of the Medicare Part D Prescription Drug Program,I1,Jonathan Gruber,Massachusetts Institute of Technology,David Laibson,Harvard University,Claudio Lucarelli,Cornell University,Wesley Yin,Boston University,Marty Gaynor,Carnegie Mellon University,,,KATHERINE BAICKER,Female,,,,,,NA,NA,NA,NA,NA,,
Katherine Baicker,Health Insurance Policy when People may make Mistakes,Harvard School of Public Health,Jan 07 2011,10:15 AM,"Sheraton, Governor's Square 12",American Economic Association,Optimal Fiscal Policy,H2,Alexander Gelber,University of Pennsylvania and NBER,Matthew Weinzierl,Harvard Business School,Damon Jones,University of Chicago,John Friedman,Harvard University,Alexander Gelber,University of Pennsylvania,,,KATHERINE BAICKER,Female,,,,,,NA,NA,NA,NA,NA,,
Katherine Ho,Recovering Preferences from Hospital Discharge Records,Columbia University,Jan 08 2011,2:30 PM,"Hyatt Regency, Mineral Hall D & E",International Health Economics Association,Bargaining and Competition in Health Care Markets,A1,Martin Gaynor,Carnegie Mellon University,William B. Vogt,University of Georgia,Daniel Ackerberg,University of Michigan,Marc Rysman,Boston University,,,,,Katherine Ho,Female,,,,,,NA,NA,NA,NA,NA,,
Katja Seim,Measuring the Degree of Competition Between Nonprofits and For-Profits: The Case of Fitness Centers,University of Pennsylvania,Jan 08 2011,2:30 PM,"Hyatt Regency, Agate B",Association for the Study of Grants Economy,The Nonprofit Sector and Intersectoral Competition,L3,Eleanor Brown,Pomona College,Avner Ben-Ner,University of Minnesota,Daniel Hungerman,University of Notre Dame,James Alm,Georgia State University,Burton Weisbrod,Northwestern University,,,Katja Seim,Female,,,,,,NA,NA,NA,NA,NA,,
Katrine Loken,A Flying Start? Long-Term Consequences of Time Investments in Infants in Their First Year of Life,University of Bergen,Jan 09 2011,8:00 AM,"Sheraton, Terrace",American Economic Association,Family Economics: New Results on Mothers' Labor Market Success and Children's Long-Run Wellbeing,J1,Joshua Angrist,Massachusetts Institute of Technology and NBER,Betsey Stevenson,University of Pennsylvania,David Blau,Ohio State University,Rafael Lalive,University of Lausanne and CEPR,Joshua D. Angrist,angrist@mit.edu,,,Katrine Loken,Female,,,,,,NA,NA,NA,NA,NA,,
Ke Tang,Index Investing and the Financialization of Commodities,Renmin University of China,Jan 07 2011,10:15 AM,"Marriott, Colorado Salons I & J",American Finance Association,Determinants of Derivatives' Returns,G1,Neil Pearson,University of Illinois at Urbana-Champaign,George Panayotov,Georgetown University,Bing Han,University of Texas-Austin,Fousseni Chabi-Yo,Ohio State University,Erkko Etula,Federal Reserve Bank of New York,,,Ke Tang,Male,,,,,,NA,NA,NA,NA,NA,,
Kei-Mu Yi,Vertical Linkages and the Collapse of Global Trade,Federal Reserve Bank of Minnesota,Jan 08 2011,2:30 PM,"Sheraton, Governor's Square 14",American Economic Association,The Great Trade Collapse of 2008-2009,F1,Gene Grossman,Princeton University,Brent Neiman,University of Chicago,Kalina Manova,Stanford University,Jonathan Eaton,Pennsylvania State University,Gene Grossman,Princeton University,,,KEI-MU YI,Male,,,,,,NA,NA,NA,NA,NA,,
Keith Head,The Economics of Border Crossings,University of British Columbia,Jan 08 2011,2:30 PM,"Sheraton, Silver",American Economic Association,Crossing the United States Border,J1,Stephen Trejo,University of Texas-Austin,,,,,,,,,,,KEITH HEAD,Male,,,,,,NA,NA,NA,NA,NA,,
Kelly Bishop,A Dynamic Model of Property Value Hedonics: Incorporating Forward-Looking Behavior into the Hedonic Approach,Washington University-St. Louis,Jan 08 2011,2:30 PM,"Sheraton, Gold",American Economic Association/Women in Real Estate Network,Re-Thinking House Price Models,R1,Marsha Courchane,Charles River Associates,David Harrison,Texas Tech University,Tsur Somerville,University of British Columbia,John Clapp,University of Connecticut,Tom Thibodeau,University of Colorado,,,Kelly Bishop,Female,,,,,,NA,NA,NA,NA,NA,,
Kelly Shue,Screening in New Credit Markets: Can Individual Lenders Infer Borrower Creditworthiness in Peer-to-Peer Lending?,Harvard University,Jan 09 2011,8:00 AM,"Marriott, Colorado Salon F",American Finance Association,Empirical Issues in Financial Intermediation,G2,Manju Puri,Duke University,Nagpurnanand Prabhala,University of Maryland,Ronald Masulis,Vanderbilt University,Justin Murfin,Duke University,,,,,Kelly Shue,Female,,,,,,NA,NA,NA,NA,NA,,
Kenneth D. West,Factor Model Forecasts of Exchange Rates,University of Wisconsin,Jan 08 2011,10:15 AM,"Sheraton, Governor's Square 17",American Economic Association,Predicting Exchange Rates,F3,David Papell,University of Houston,David Papell,University of Houston,Jan Groen,Federal Reserve Bank of New York,Jian Wang,Federal Reserve Bank of Dallas,Magnus Dahlquist,Stockholm University,,,Kenneth D. West,Male,,,,,,NA,NA,NA,NA,NA,,
Kevin F. Hallock,CEO Pay: Testing Agency Theory and Tournament Theory in American Unions,Cornell University,Jan 09 2011,1:00 PM,"Westin Tabor, Lawrence A",Labor & Employment Relations Association,LERA Refereed Papers Session II,J5,Ann Frost,University of Western Ontario,Mark Stuart,University of Leeds,,,,,,,,,Kevin F. Hallock,Male,,,,,,NA,NA,NA,NA,NA,,
Kevin J. Murphy,The Pay Divide: (Why) are U.S. Top Executives Paid More?,University of Southern California,Jan 08 2011,8:00 AM,"Marriott, Colorado Salon E",American Finance Association,Executive Compensation and Turnover,G3,Carola Frydman,Massachusetts Institute of Technology,Michael Lemmon,University of Utah,Laura Starks,University of Texas-Austin,Camelia Kuhnen,Northwestern University,,,,,KEVIN J. MURPHY,Male,KEVIN MURPHY,,,,,NA,NA,NA,NA,NA,,
Kevin Milligan,Maternity Leave and Children’s Cognitive and Behavioral Development,University of British Columbia and NBER,Jan 09 2011,8:00 AM,"Sheraton, Terrace",American Economic Association,Family Economics: New Results on Mothers' Labor Market Success and Children's Long-Run Wellbeing,J1,Joshua Angrist,Massachusetts Institute of Technology and NBER,Betsey Stevenson,University of Pennsylvania,David Blau,Ohio State University,Rafael Lalive,University of Lausanne and CEPR,Joshua D. Angrist,angrist@mit.edu,,,KEVIN MILLIGAN,Male,,,,,,NA,NA,NA,NA,NA,,
