author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,,
Jon Kleinberg,"Network, Crowds, and Markets",Cornell University,Jan 05 2013,10:15 AM,"Hyatt, Madeleine C & D",Econometric Society,"Networks, Mechanisms, and Big Data: Economics Meets Information Science",D0,B. Douglas Bernheim,Stanford University,Hal R. Varian,Google,,,,,,,,,Jon Kleinberg,Male,,,,,,NA,NA,NA,NA,NA,,
Jonathan D. Ostry,Multilateral Aspects of Managing the Capital Account,International Monetary Fund,Jan 05 2013,2:30 PM,"Hyatt, Elizabeth Ballroom A",American Economic Association,Capital Controls and the International Monetary System,F3,Carmen Reinhart,Harvard University,Robert Kollmann,Universite Libre de Bruxelles,Nicolas Coeurdacier,SciencesPo,Sebnem Kalemli-Ozcan,University of Maryland,Jeromin Zettelmeyer,European Bank for Reconstruction and Development,,,Jonathan D. Ostry,Male,,,,,,NA,NA,NA,NA,NA,,
Jonathan Gruber,Choosing Prescription Drug Plans: Do Elders Get Better Over Time?,Massachusetts Institute of Technology,Jan 05 2013,2:30 PM,"Hyatt, Molly A & B",American Economic Association,Plan Choice and Switching Costs in Health Insurance Market,I1,Yuting Zhang,University of Pittsburgh,Cameron M. Kaplan,University of Pittsburgh,Liran Einav,Stanford University,Kosali Simon,Indiana University,Amanda Kowalski,Yale University,,,Jonathan Gruber,Male,NBER Jonathan Gruber,,,,,NA,NA,NA,NA,NA,,
Jonathan Gruber,Do High-Cost Hospitals Deliver Better Care? Evidence from Ambulance Referral Patterns,Massachusetts Institute of Technology,Jan 05 2013,12:30 PM,"Marriott, La Costa",Health Economics Research Organization,"Hospital Market Structure, Pricing, and Quality of Care",I1,Martin Gaynor,Carnegie Mellon University,Alan Sorenson,University of Wisconsin,Amitabh Chandra,Harvard University,Carol Propper,Imperial College London,,,,,Jonathan Gruber,Male,NBER Jonathan Gruber,,,,,NA,NA,NA,NA,NA,,
Jonathan Gruber,A Dynamic Model of Prescription Drug Utilization,Massachusetts Institute of Technology,Jan 06 2013,1:00 PM,"Hyatt, Elizabeth Ballroom B",American Economic Association,Behavioral Responses to Nonlinear Insurance Prices,D4,Yuting Zhang,University of Pittsburgh,Jason Todd Abaluck,Yale University,Leila Agha,Boston University,Benjamin Handel,University of California-Berkeley,Claudio Lucarelli,Cornell University,,,Jonathan Gruber,Male,NBER Jonathan Gruber,,,,,NA,NA,NA,NA,NA,,
Jonathan Heathcote,Wealth and Volatility,Federal Reserve Bank of Minneapolis,Jan 06 2013,10:15 AM,"Hyatt, Elizabeth Ballroom H",American Economic Association,Fluctuations in Risk Over the Business Cycle,E3,Fatih Guvenen,University of Minnesota,,,,,,,,,,,JONATHAN HEATHCOTE,Male,,,,,,NA,NA,NA,NA,NA,,
Jonathan Heathcote,Intergenerational Redistribution in the Great Recession,Federal Reserve Bank of Minneapolis and CEPR,Jan 05 2013,10:15 AM,"Hyatt, Elizabeth Ballroom H",American Economic Association,"Household Heterogeneity, Business Cycles, and Monetary Policy",E2,Yuriy Gorodnichenko,University of California-Berkeley,William A. Branch,University of California-Irvine,James K. Galbraith,University of Texas-Austin,Menzie Chinn,University of Wisconsin,Martin Schneider,Stanford University,,,JONATHAN HEATHCOTE,Male,,,,,,NA,NA,NA,NA,NA,,
Jonathan Heathcote,Optimal Income Taxation: Mirrlees Meets Ramsey,Federal Reserve Bank of Minneapolis,Jan 05 2013,2:30 PM,"Hyatt, America's Cup D",Econometric Society,Macroeconomic Reforms,E6,Gary Hansen,University of California-Los Angeles,,,,,,,,,,,JONATHAN HEATHCOTE,Male,,,,,,NA,NA,NA,NA,NA,,
Jonathan Meer,Does Generosity Beget Generosity? Alumni Giving and Undergraduate Financial Aid,Texas A&M University,Jan 05 2013,12:30 PM,"Marriott, New York",Association for the Study of Grants Economy,Making Higher Education Accessible: Financial Aid and Peer Effects,I2,"Theodore Tsukahara, Jr.",Saint Mary's College of California,Burton Weisbrod,Northwestern University,Catharine Hill,Vassar College,Fernando A. Lozano,Pomona College,,,,,Jonathan Meer,Male,,,,,,NA,NA,NA,NA,NA,,
Jonathan Robinson,Returns to Capital and Entrepreneurial Decision-Making: Evidence from Inventories in Kenyan Retail Shops,University of California-Santa Cruz,Jan 06 2013,1:00 PM,"Hyatt, Manchester A",American Economic Association,Money Management by Households and Firms in Kenya,O1,David Weil,Brown University,Joshua Blumenstock,University of Washington,Jonathan Morduch,New York University,Dean Yang,University of Michigan,,,,,Jonathan Robinson,Male,,,,,,NA,NA,NA,NA,NA,,
Jonathan Vogel,"International Trade, Technology, and the Skill Premium",Columbia University and NBER,Jan 05 2013,8:00 AM,"Hyatt, Elizabeth Ballroom C",American Economic Association,"International Trade, Productivity, and Skill Demand",F1,Nico Voigtlaender,University of California-Los Angeles and NBER,Donald R. Davis,Columbia University,Benjamin R. Mandel,Federal Reserve Bank of New York,Stephen Redding,Princeton University,Ferdinando Monte,Johns Hopkins University,Jaebin Ahn,International Monetary Fund,JONATHAN VOGEL,Male,,,,,,NA,NA,NA,NA,NA,,
Jorge Silva-Risso,"Heterogeneity, Market Structure, and the Effect of Inattention in Used Vehicle Markets",University of California-Riverside,Jan 05 2013,10:15 AM,"Hyatt, Elizabeth Ballroom G",American Economic Association,Structural Behavioral Economics,D0,Stefano DellaVigna,University of California-Berkeley,Ulrike Malmendier,University of California-Berkeley,Dan Silverman,Arizona State University,Benjamin Handel,University of California-Berkeley,Xavier Gabaix,New York University,,,JORGE SILVA-RISSO,Male,,,,,,NA,NA,NA,NA,NA,,
Jose-Luis Peydro,"Macroprudential Policy, Countercyclical Bank Capital Buffers and Credit Supply: Evidence from the Spanish Dynamic Provisioning Experiments",Universitat Pompeu Fabra,Jan 05 2013,8:00 AM,"Marriott, Marina Salon F",American Finance Association,Financial Regulation and Policy,G2,Patrick Bolton,Columbia University,Tobias Adrian,Federal Reserve Bank of New York,David Skeie,Federal Reserve Bank of New York,Anton Korinek,University of Maryland,Elod Takats,Bank for International Settlements,,,Jose-Luis Peydro,Male,,,,,,NA,NA,NA,NA,NA,,
Joseph E. Aldy,"The Environmental, Health, and Fiscal Implications of Reducing Fossil Fuel Subsidies",Harvard University,Jan 06 2013,1:00 PM,"Hyatt, Maggie",Association of Environmental & Resource Economists,Air Pollution and Public Health,Q5,Joshua Zivin,University of California-San Diego,Olivier Deschenes,University of California-Santa Barbara,Joshua Graff Zivin,University of California-San Diego,Rema Hanna,Harvard University,Nicholas Sanders,College of William & Mary,,,Joseph E. Aldy,Male,,,,,,NA,NA,NA,NA,NA,,
Joseph Gyourko,Should We Fear an Adverse Collateral Effect on Investment in China?,University of Pennsylvania,Jan 06 2013,1:00 PM,"Marriott, Rancho Santa Fe 3",American Real Estate & Urban Economic Association,Housing and the Macroeconomy,E2,Morris Davis,University of Wisconsin,Jesse Gregory,University of Wisconsin,Gabriel Ehrlich,Congressional Budget Office,Erwan Quintin,University of Wisconsin,Andra Ghent,Arizona State University,,,JOSEPH GYOURKO,Male,,,,,,NA,NA,NA,NA,NA,,
Joseph P. Kaboski,Services and the Dynamics of Female Labor Supply,University of Notre Dame,Jan 06 2013,8:00 AM,"Hyatt, Manchester E",American Economic Association,Structural Change and Productivity,O4,Diego Restuccia,University of Toronto,Diego Restuccia,University of Toronto,Todd Schoellman,Arizona State University,Dennis Yang,Chinese University of Hong Kong,Yong Wang,Hong Kong University of Science and Technology,,,Joseph P. Kaboski,Male,JOSEPH KABOSKI,,,,,NA,NA,NA,NA,NA,,
Joseph P. Kaboski,"Trade, Inventories, and the International Propagation of Business Cycles",University of Notre Dame,Jan 05 2013,2:30 PM,"Marriott, Orlando",International Society for Inventory Research,Inventory Dynamics and Business Cycles,E2,Ruediger Bachmann,RWTH Aachen University,Jing Zhang,University of Michigan,Michael Mahon,University of Warwick,Cristina Fuentes-Albero,Rutgers University,,,,,Joseph P. Kaboski,Male,JOSEPH KABOSKI,,,,,NA,NA,NA,NA,NA,,
Joseph Price,Affirmative Action and Pre-College Human Capital Investment: Evidence from a Randomized Field Experiment,Brigham Young University,Jan 06 2013,8:00 AM,"Hyatt, Randle B",American Economic Association,Experimental Auctions: Evidence from the Lab and Field,C9,James Cox,Georgia State University,Ron Harstad,University of Missouri,Andreas Lange,University of Hamburg,Sotiris Georganas,"University of London, Royal Holloway",Andrew Sweeting,Duke University,,,JOSEPH PRICE,Male,,,,,,NA,NA,NA,NA,NA,,
Joseph Tracy,"Real Estate Investors, the Leverage Cycle, and the Housing Market Crisis",Federal Reserve Bank of New York,Jan 06 2013,1:00 PM,"Hyatt, Elizabeth Ballroom A",American Economic Association,Exploring the Role of Mortgage Lending Using Credit Report Data,E2,Bent Sorensen,University of Houston,Shane M. Sherlund,Federal Reserve Board,Wilbert van der Klaauw,Federal Reserve Bank of New York,Sumit Agarwal,National University of Singapore,Greg Kaplan,Princeton University,,,Joseph Tracy,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Aizenman,Why Do Emerging Markets Liberalize Capital Outflow Controls? Fiscal versus Net Capital Flows Concerns,University of California-Santa Cruz,Jan 06 2013,8:00 AM,"Hyatt, Emma C",American Economic Association,International Finance,F3,Hendrik Van Den Berg,University of Nebraska-Lincoln,,,,,,,,,,,JOSHUA AIZENMAN,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua D. Gottlieb,Cost-Shifting or Cost-Following: How Does Medicare Affect Private Physician Pricing?,University of British Columbia,Jan 04 2013,8:00 AM,"Hyatt, Gregory A & B",American Economic Association,Consequences of Health Reform for Private Markets: Evidence from Public Sector Regulations,I1,Joseph Doyle,Massachusetts Institute of Technology,David Molitor,Massachusetts Institute of Technology,Thomas Buchmueller,University of Michigan,Marit Rehavi,University of British Columbia,Michael Dickstein,Cowles Foundation at Yale University,,,Joshua D. Gottlieb,Male,Joshua Gottlieb,,,,,NA,NA,NA,NA,NA,,
Joshua D. Gottlieb,Do Physicians' Financial Incentives Affect Treatment Patterns and Patient Health?,University of British Columbia,Jan 04 2013,2:30 PM,"Hyatt, Edward C",American Economic Association,Medical Treatment,I1,Kathleen Carey,Boston University,,,,,,,,,,,Joshua D. Gottlieb,Male,Joshua Gottlieb,,,,,NA,NA,NA,NA,NA,,
Joshua Gans,Consumer Tracking and Efficient Matching in Online Advertising Markets,University of Toronto,Jan 05 2013,2:30 PM,"Hyatt, Elizabeth Ballroom F",American Economic Association,Economics of the Internet,D1,Hal Varian,Google,Feng Zhu,University of Southern California,Hal R. Varian,Google,Jeffrey Prince,Indiana University,,,,,JOSHUA GANS,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Lerner,With a Little Help from My (Random) Friends: Success and Failure in Post-Business School Entrepreneurship,Harvard University and NBER,Jan 06 2013,10:15 AM,"Hyatt, Elizabeth Ballroom C",American Economic Association,Social Interactions and Economic Choices,D8,Kenneth Ahern,University of Southern California,Hunt Allcott,New York University,Scott Carrell,University of California-Davis,Harrison Hong,Princeton University,Bruce Sacerdote,Dartmouth University,,,JOSHUA LERNER,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Lerner,"Private Equity, Jobs and Productivity",Harvard University,Jan 04 2013,10:15 AM,"Hyatt, Manchester A",American Economic Association,"Firms, Innovation and Productivity",O4,Chad Syverson,University of Chicago,,,,,,,,,,,JOSHUA LERNER,Male,,,,,,NA,NA,NA,NA,NA,,
Joshua Rauh,"Family, Education, and Sources of Wealth Among the Richest Americans, 1982-2012",Stanford University,Jan 05 2013,10:15 AM,"Hyatt, Elizabeth Ballroom A",American Economic Association,Extreme Wage Inequality: Evidence and Policy Responses,J3,John Van Reenen,London School of Economics,,,,,,,,,,,JOSHUA RAUH,Male,,,,,,NA,NA,NA,NA,NA,,
Juan Carlos Suarez Serrato,Estimating the Incidence of Government Spending,University of California-Berkeley,Jan 04 2013,10:15 AM,"Hyatt, Ford A",American Economic Association,CSMGEP Dissertation Session,,Fernando Lozano,Pomona College,,,,,,,,,,,Juan Carlos Suarez Serrato,Male,,,,,,NA,NA,NA,NA,NA,,
Juan Pantano,Estimating Neighborhood Choice Models: Lessons from a Housing Assistance Experiment,Washington University in St. Louis,Jan 05 2013,8:00 AM,"Marriott, Torrey Pines 2",American Real Estate & Urban Economic Association,Location and Neighborhood,R2,Matthew Kahn,University of California-Los Angeles,Matthew Kahn,University of California-Los Angeles,,,,,,,,,Juan Pantano,Male,,,,,,NA,NA,NA,NA,NA,,
Judit Montoriol-Garriga,Firms as Liquidity Providers: Evidence from the 2007-2008 Financial Crisis,Universitat Autonoma de Barcelona,Jan 04 2013,10:15 AM,"Marriott, Point Loma","International Banking, Economics & Finance Association",Trade Credit and Lines of Credit,G2,James Wilcox,University of California-Berkeley,Nada Mora,Federal Reserve Bank of Kansas City,Sumit Agarwal,National University of Singapore,Gregory Udell,Indiana University,Brandon Lockhart,University of Nebraska,,,Judit Montoriol-Garriga,Female,,,,,,NA,NA,NA,NA,NA,,
Judith K. Hellerstein,Do Labor Market Networks Have An Important Spatial Dimension?,University of Maryland,Jan 05 2013,2:30 PM,"Hyatt, Manchester A",American Economic Association,Labor Market Networks,J2,Patrick Bayer,Duke University,Adriana Kugler,Georgetown University,Giorgio Topa,Federal Reserve Bank of New York,Kevin Lang,Boston University,Alexandre Mas,Princeton University,,,Judith K. Hellerstein,Female,JUDITH HELLERSTEIN,,,,,NA,NA,NA,NA,NA,,
Julia I. Lane,Have Good Jobs Been Disappearing in the U.S.?,National Science Foundation,Jan 06 2013,1:00 PM,"Hyatt, Elizabeth Ballroom C",American Economic Association,"Worker Skills, Job Quality, and Labor Market Matching",J2,Kathryn Shaw,Stanford University,David H. Autor,Massachusetts Institute of Technology,Till von Wachter,Columbia University,,,,,,,JULIA I. LANE,Female,JULIA LANE,,,,,NA,NA,NA,NA,NA,,
Julian Di Giovanni,Do Internal Devaluations Induce Expenditure Switching? Scanner Data Evidence from the 2008-09 Global Financial Crisis,International Monetary Fund,Jan 06 2013,10:15 AM,"Hyatt, Emma C",American Economic Association,Sovereign Risk,G3,David Parsley,Vanderbilt University,,,,,,,,,,,JULIAN DI GIOVANNI,Male,,,,,,NA,NA,NA,NA,NA,,
Julie Agnew,Target-Date Funds: Survey and Administrative Evidence,College of William and Mary,Jan 04 2013,10:15 AM,"Hyatt, Edward B",American Economic Association,"Saving for the Common Man: Target-Date Funds, Defaults and the Design of 401(k) Plans",G2,Brigitte Madrian,Harvard University,Pierluigi Balduzzi,Boston College,John Turner,Pension Policy Center,James J. Choi,Yale University,Jonathan Reuter,Boston College,,,Julie Agnew,Female,,,,,,NA,NA,NA,NA,NA,,
Jun Yang,Is Disclosure an Effective Cleansing Mechanism? The Dynamics of Compensation Peer Benchmarking,Indiana University,Jan 06 2013,10:15 AM,"Marriott, Cardiff & Carlsbad",American Finance Association,Compensation and Incentives,G3,Katharina Lewellen,Dartmouth College,Carola Frydman,Boston University,David Yermack,New York University,Luigi Zingales,University of Chicago,,,,,Jun Yang,Female,,,,,,NA,NA,NA,NA,NA,,
Jun-Koo Kang,Corporate Pension Funding Status and the Market for Corporate Control: The Disciplinary Role of Pension Deficits in Mergers and Acquisitions,Nanyang Technological University,Jan 04 2013,2:30 PM,"Marriott, Santa Rosa",American Finance Association/Association of Financial Economists,Shareholder Rights and Corporate Control,G3,Kose John,New York University,Dalida Kadyrzhanova,University of Maryland,Marcin Kacperczyk,New York University,Anzhela Knyazeva,University of Rochester,S. Abraham Ravid,Yeshiva University,,,Jun-Koo Kang,Male,,,,,,NA,NA,NA,NA,NA,,
Jun-Koo Kang,Are Institutional Investors Effective Monitors When Holding the Largest Institutional Block Ownership in Multiple Firms?,Nanyang Technological University,Jan 06 2013,1:00 PM,"Marriott, Marina Salon G",American Finance Association,"Institutional Investors: Voting, Lending and Monitoring",G2,Ralph Walkling,Drexel University,David Musto,University of Pennsylvania,Victoria Ivashina,Harvard University,Jarrad Harford,University of Washington,,,,,Jun-Koo Kang,Male,,,,,,NA,NA,NA,NA,NA,,
Justin Caron,Skill Premium and Trade Puzzles: A Solution Linking Production Factors and Demand,ETH Zurich,Jan 04 2013,8:00 AM,"Hyatt, Del Mar A & B",American Economic Association,International Trade and Investment,F1,Keith Maskus,University of Colorado,,,,,,,,,,,Justin Caron,Male,,,,,,NA,NA,NA,NA,NA,,
Justin Wolfers,Subjective Well-being and Income: Is There Any Evidence of Satiation?,University of Michigan,Jan 06 2013,1:00 PM,"Hyatt, Manchester H & I",American Economic Association,Economic Analysis of Subjective Well-being,D6,Justin Wolfers,University of Michigan,Betsey Stevenson,University of Michigan,David I. Laibson,Harvard University,Edward Glaeser,Harvard University,,,,,JUSTIN WOLFERS,Male,,,,,,NA,NA,NA,NA,NA,,
K.J. Martijn Cremers,"Thirty Years of Shareholder Rights and Stock Returns: Beta, Not Alpha?",University of Notre Dame,Jan 04 2013,2:30 PM,"Marriott, Santa Rosa",American Finance Association/Association of Financial Economists,Shareholder Rights and Corporate Control,G3,Kose John,New York University,Dalida Kadyrzhanova,University of Maryland,Marcin Kacperczyk,New York University,Anzhela Knyazeva,University of Rochester,S. Abraham Ravid,Yeshiva University,,,K.J. MARTIJN CREMERS,Male,K. J. MARTIJN CREMERS,MARTIJN CREMERS,,,,NA,NA,NA,NA,NA,,
Kai Li,Toward a Quantitative General Equilibrium Asset Pricing Model with Intangible Capital,Duke University,Jan 05 2013,2:30 PM,"Hyatt, Randle D",American Economic Association,Intangible Capital and Asset Prices,G1,Hengjie Ai,Duke University,Lu Zhang,Ohio State University,Leonid Kogan,Massachusetts Institute of Technology,Joao Gomes,University of Pennsylvania,John Heaton,University of Chicago,,,Kai Li,Male,,,,,,NA,NA,NA,NA,NA,,
Kaiji Chen,Debt and the U.S. Economy,Emory University,Jan 05 2013,2:30 PM,"Hyatt, America's Cup D",Econometric Society,Macroeconomic Reforms,E6,Gary Hansen,University of California-Los Angeles,,,,,,,,,,,Kaiji Chen,Male,,,,,,NA,NA,NA,NA,NA,,
Kalina Manova,Firms along the Value-Added Chain: Processing Trade in China,Stanford University,Jan 04 2013,10:15 AM,"Hyatt, Edward A",American Economic Association,Global Production Chains,F1,Kalina Manova,Stanford University,Thibault Fally,University of Colorado-Boulder,Robert Feenstra,University of California-Davis,Davin Chor,Singapore Management University,George Alessandria,Federal Reserve Bank of Philadelphia,,,Kalina Manova,Female,,,,,,NA,NA,NA,NA,NA,,
Karam Kang,Lobbying for Power: A Structural Model of Lobbying in the Energy Sector,Carnegie Mellon University,Jan 05 2013,12:30 PM,"Hyatt, Ford A",Korea-America Economic Association,Recent Development of Applied Microeconomics,D7,Jay Pil Choi,University of New South Wales and Michigan State University,,,,,,,,,,,Karam Kang,Female,,,,,,NA,NA,NA,NA,NA,,
Karen Clay,"Coal, Smoke, and Death",Carnegie Mellon University,Jan 04 2013,10:15 AM,"Hyatt, Emma C",Cliometrics Society,Public Goods Provision and the State,N4,Ahmed Rahman,United States Naval Academy,Mark Dincecco,IMT Lucca Institute for Advanced Studies,Se Yan,Peking University,John Parman,College of William & Mary,John Wallis,University of Maryland,,,KAREN CLAY,Female,,,,,,NA,NA,NA,NA,NA,,
Karen Dynan,What's Driving Deleveraging? Evidence from the Survey of Consumer Finances,Brookings Institution,Jan 06 2013,8:00 AM,"Hyatt, Elizabeth Ballroom B",American Economic Association,Why Did Consumption Collapse during the Great Recession?,E2,John Duca,Federal Reserve Bank of Dallas,Brian Bucks,Consumer Finance Protection Bureau,Marjorie Flavin,University of California-San Diego,Martin Sommer,International Monetary Fund,Neil Bhutta,Federal Reserve Board,,,Karen Dynan,Female,,,,,,NA,NA,NA,NA,NA,,
Karen Lewis,Evaluating International Consumption Risk Sharing Gains: An Asset Return View,University of Pennsylvania,Jan 05 2013,10:15 AM,"Hyatt, Elizabeth Ballroom F",American Economic Association,International Macroeconomics,F3,David Backus,New York University,Nick Roussanov,University of Pennsylvania,Matteo Maggiori,New York University,David Backus,New York University,Martin Evans,Georgetown University,,,KAREN LEWIS,Female,,,,,,NA,NA,NA,NA,NA,,
Karen Thome,Agricultural Spillover Effects of Cash Transfers: What Does LEWIE Have to Say?,University of California-Davis,Jan 05 2013,8:00 AM,"Marriott, Torrey Pines 1",Agricultural & Applied Economics Association,"Impact Evaluation Challenges of Agricultural Interventions: Uptake, Spillovers, Heterogeneity and Dynamics",Q1,Stephen Boucher,University of California-Davis,,,,,,,,,,,Karen Thome,Female,,,,,,NA,NA,NA,NA,NA,,
Karthik Muralidharan,Designing Experiments for Better External Validity,University of California-San Diego,Jan 05 2013,2:30 PM,"Hyatt, Ford C",International Network for Economic Method,A Tale of Two Methods - Confronting Empirical Economics,B4,Julian Reiss,Erasmus University Rotterdam,Joshua Angrist,Massachusetts Institute of Technology,,,,,,,,,KARTHIK MURALIDHARAN,Male,,,,,,NA,NA,NA,NA,NA,,
Karthik Muralidharan,Building State Capacity: Biometric Identification and the Delivery of Public Programs in India,University of California-San Diego,Jan 06 2013,8:00 AM,"Hyatt, Gregory A & B",American Economic Association,Corruption,O1,Benjamin Olken,Massachusetts Institute of Technology,Paul Niehaus,University of California-San Diego,Stephan Litschig,Universitat Pompeu Fabra,Anh Tran,Indiana University,Sandip Sukhtankar,Dartmouth College,Karthik Muralidharan,University of California-San Diego,KARTHIK MURALIDHARAN,Male,,,,,,NA,NA,NA,NA,NA,,
Kartik Athreya,The Earned Income Tax Credit for Single Mothers: Insurance without Disincentives,Federal Reserve Bank of Richmond,Jan 06 2013,8:00 AM,"Hyatt, Manchester G",American Economic Association,Woman and Labor Markets,J1,Donna Ginther,University of Kansas,Kevin Lang,Boston University,Catalina Amuedo-Dorantes,San Diego State University,Susan Averett,Lafayette College,Donna Ginther,University of Kansas,,,Kartik Athreya,Male,,,,,,NA,NA,NA,NA,NA,,
Kartika Bhatia,Provoking an Insurgency in a Federation: Theory and Application to India,University of Toulouse 1,Jan 06 2013,10:15 AM,"Hyatt, Oxford",Peace Science Society International,The Consequences of Violence,D7,Carlos Seiglie,Rutgers University Newark,Tirtha Das,Temple University,Henry Farber,Princeton University,,,,,,,Kartika Bhatia,Female,,,,,,NA,NA,NA,NA,NA,,
Katherine L. Milkman,The Effect of Providing Peer Information on Retirement Savings Decisions,University of Pennsylvania,Jan 06 2013,10:15 AM,"Hyatt, Elizabeth Ballroom C",American Economic Association,Social Interactions and Economic Choices,D8,Kenneth Ahern,University of Southern California,Hunt Allcott,New York University,Scott Carrell,University of California-Davis,Harrison Hong,Princeton University,Bruce Sacerdote,Dartmouth University,,,Katherine L. Milkman,Female,KATHERINE MILKMAN,,,,,NA,NA,NA,NA,NA,,
Katheryn N. Russ,Hymer's Multinationals,University of California-Davis and NBER,Jan 05 2013,2:30 PM,"Marriott, Torrey Pines 2",International Trade & Finance Association,International Trade,F1,Georg Schaur,University of Tennessee,,,,,,,,,,,Katheryn N. Russ,Female,,,,,,NA,NA,NA,NA,NA,,
Kathryn Shaw,Making Do With Less: Why Productivity is Rising during Recessions,Stanford University,Jan 06 2013,8:00 AM,"Hyatt, Manchester A",American Economic Association,Economics of Management and Organizations,L1,Robert Gibbons,Massachusetts Institute of Technology,,,,,,,,,,,KATHRYN SHAW,Female,,,,,,NA,NA,NA,NA,NA,,
Kathryn Shaw,The Spread of Modern Retail: Implications for Wages,Stanford University,Jan 06 2013,1:00 PM,"Hyatt, Elizabeth Ballroom C",American Economic Association,"Worker Skills, Job Quality, and Labor Market Matching",J2,Kathryn Shaw,Stanford University,David H. Autor,Massachusetts Institute of Technology,Till von Wachter,Columbia University,,,,,,,KATHRYN SHAW,Female,,,,,,NA,NA,NA,NA,NA,,
Kathryn Shaw,The Value of Bosses,Stanford University,Jan 05 2013,10:15 AM,"Hyatt, Madeleine A",Industrial Organization Society,Incentives and Delegation in Organizations,L2,Francine Lafontaine,University of Michigan,Danielle Lee,Northwestern University,Silke Januszewski Forbes,University of California-San Diego,Mitch Hoffman,University of Toronto,Philip Leslie,University of California-Los Angeles,,,KATHRYN SHAW,Female,,,,,,NA,NA,NA,NA,NA,,
Kathy Baylis,Empirically Testing the Determinants of Leakage in a General Equilibrium Model of Deforestation,University of Illinois-Urbana-Champaign,Jan 04 2013,10:15 AM,"Hyatt, Maggie",Association of Environmental & Resource Economists,Forests and Agriculture,Q1,Michael Roberts,North Carolina State University,Barrett Kirwan,University of Illinois-Urbana-Champaign,Michael Roberts,North Carolina State University,Jarrod Welch,National Bureau of Economic Research,Erica Field,Duke University,,,Kathy Baylis,Female,,,,,,NA,NA,NA,NA,NA,,
Kathy Baylis,"Leakage, Welfare, and Cost-Effectiveness of Carbon Policy",University of Illinois-Urbana-Champaign,Jan 06 2013,1:00 PM,"Hyatt, Randle E",American Economic Association,Impacts of Unilateral Climate Change Policy,Q5,Brian Copeland,University of British Columbia,Sam Kortum,University of Chicago,Brian Copeland,University of British Columbia,Ian Sue Wing,Boston University,,,,,Kathy Baylis,Female,,,,,,NA,NA,NA,NA,NA,,
Katie Fitzpatrick,"Food Stamps, Food Sufficiency, and Diet-Related Disease Among the Elderly",Seattle University,Jan 06 2013,10:15 AM,"Marriott, Torrey Pines 2",Society of Government Economists,SNAP: Participation and Food Insecurity,D1,Jonathan Schwabish,Congressional Budget Office,James P. Ziliak,University of Kentucky,Marianne Bitler,University of California-Irvine,Stacy Dickert-Conlin,Michigan State University,,,,,Katie Fitzpatrick,Female,,,,,,NA,NA,NA,NA,NA,,
Katja Seim,The Welfare Consequences of Mergers with Product Repositioning,University of Pennsylvania,Jan 06 2013,1:00 PM,"Hyatt, Manchester G",American Economic Association,Mergers Analysis with Product Repositioning,L1,Mauricio Varela,University of Arizona,Ying Fan,University of Michigan,Mo Xiao,University of Arizona,Jacob Gramlich,"Economist, Federal Reserve Board of Governors",Allan Collard-Wexler,New York University,,,Katja Seim,Female,,,,,,NA,NA,NA,NA,NA,,
Katrina Jessoe,The Effect of a Mandatory Time-of-Use Pricing Reform on Residential Electricity Use,University of California-Davis,Jan 04 2013,2:30 PM,"Hyatt, Edward A",American Economic Association,Consumer Choice and Energy Demand: Empirical Policy Evaluations,Q4,Hunt Allcott,New York University,Judd Kessler,University of Pennsylvania,Peter C. Reiss,Stanford University,Kelsey Jack,Tufts University,Paulina Oliva,University of California-Santa Barbara,,,Katrina Jessoe,Female,,,,,,NA,NA,NA,NA,NA,,
Katrine Loken,Peer Effects in Program Participation,University of Bergen,Jan 05 2013,2:30 PM,"Hyatt, Manchester A",American Economic Association,Labor Market Networks,J2,Patrick Bayer,Duke University,Adriana Kugler,Georgetown University,Giorgio Topa,Federal Reserve Bank of New York,Kevin Lang,Boston University,Alexandre Mas,Princeton University,,,Katrine Loken,Female,,,,,,NA,NA,NA,NA,NA,,
Keith Finlay,Stigma in the Labor Market: Evidence from Juveniles Transferred to Adult Court and Occupations with Mandated Criminal Background Checks,Tulane University,Jan 04 2013,10:15 AM,"Hyatt, Edward C",American Economic Association,The Economics and Economic Impact of New Screening Technologies,J7,Abigail Wozniak,University of Notre Dame,Amanda Pallais,Harvard University,Luke Chicoine,DePaul University,Abigail Wozniak,University of Notre Dame,Peter Kuhn,University of California-Santa Barbara,,,Keith Finlay,Male,,,,,,NA,NA,NA,NA,NA,,
Keith Kuester,Fiscal Volatility Shocks and Economic Activity,Federal Rserve Bank of Philadelphia,Jan 06 2013,1:00 PM,"Hyatt, Elizabeth Ballroom G",American Economic Association,Policy Uncertainty and Macroeconomic Performance,E6,Steven Davis,University of Chicago,,,,,,,,,,,Keith Kuester,Male,,,,,,NA,NA,NA,NA,NA,,
